Interval,Load1
1,18142.08610703655
2,15220.751728142704
3,16269.557405102874
4,17301.254329566713
5,14954.720049596823
6,16489.26133766421
7,18302.71991863694
8,14807.099470713632
9,11893.42986427333
10,9454.764437007523
11,7465.492239541667
12,7544.1208879313335
13,7893.837000946902
14,7221.312621512492
15,9139.667883379954
16,14364.167908861242
17,17655.685283065082
18,22459.077933362336
19,24782.985532840823
20,21229.953444246457
21,23100.92918621948
22,24231.953454434646
23,19715.66936899186
24,20023.745491516973
25,20636.948313109322
26,17163.610433354945
27,18338.357496165292
28,19781.273638266393
29,17682.51662254423
30,20073.64972537906
31,23122.3421847133
32,19500.099612587255
33,17461.379509775426
34,15606.30254614372
35,12543.784640088326
36,12867.381590183037
37,13313.335491446715
38,11498.201845584605
39,13117.297110115798
40,18234.07872875975
41,20321.61545859053
42,24897.519450871965
43,27319.046685029083
44,22923.115885725347
45,24561.160272462992
46,25721.9192523573
47,20897.095634674944
48,21327.63933712754
49,21676.90649696037
50,18065.494135529094
51,19322.67652344345
52,20865.79968380159
53,18496.5077806009
54,21106.40948683666
55,24545.147655281646
56,20949.41106614103
57,18601.481216572465
58,16663.531822284047
59,13417.511539181414
60,13886.35235770656
61,14396.43113992424
62,12607.223511639335
63,14373.936386396988
64,18574.337872091244
65,20412.96835912433
66,24410.11286287946
67,26639.963236598676
68,22903.686850858277
69,24927.75939445894
70,26116.44862255155
71,21035.391166932262
72,21238.920863401676
73,21756.41765752396
74,18124.72753339428
75,19380.783015300236
76,20760.589027333648
77,18357.16630663476
78,21004.41595119903
79,24830.320675967727
80,20917.336669703705
81,18630.223694824374
82,17097.924825581373
83,13757.338930468217
84,14169.015086135545
85,14570.543235318935
86,12591.119281124844
87,14306.349361744968
88,18368.57811871863
89,20578.67072971059
90,24574.16768749288
91,26849.574754070323
92,22632.29298218798
93,24261.049408760802
94,25285.354599072038
95,20369.728689914118
96,20545.58344918138
97,21195.78735456113
98,17541.159925272947
99,18978.31521687338
100,20231.35150808617
101,17295.969076951405
102,19259.11797168004
103,21662.799387759034
104,19127.985651752824
105,20896.951835736872
106,22306.89543825524
107,18772.670855157252
108,19838.152475985953
109,21402.592172148892
110,18802.393358600508
111,20924.456766107876
112,22990.291428370932
113,20461.912680772773
114,23115.65525535438
115,25474.8379983512
116,22046.579104057193
117,23332.01200051781
118,24295.26537063707
119,19744.505292200745
120,19981.45746502409
121,20505.84495569676
122,16694.86240066178
