input_size_instances,input_sizes,H2comp_cap_cost_s
s1,200,25961.45263
s2,100,25900.60814
s3,40,25017.546
s4,24,19786.20295
s5,20,18493.97711
s6,18,24822.51115
s7,12,14674.60899
s8,10,17764.85547
s9,6,11463.0548
s10,4,10625.47864
s11,2.4,12666.75213
s12,2,13507.01793
s13,1.8,14005.6925
s14,1.6,14583.51302
s15,1.4,15325.18236
s16,1.2,16195.38463
s17,1,17216.63884
s18,0.6,20597.18785
s19,0.4,23738.54042
s20,0.2,30567.26137
s21,0.1,38257.60151
s22,0.02,44409.87363
