Interval,Station1
1,23747.1437
2,19409.71864
3,20620.26852
4,21985.29736
5,18638.64396
6,20788.24312
7,23347.51988
8,19723.74217
9,20921.79346
10,21971.67076
11,18041.89553
12,19107.81739
13,20232.73306
14,17197.23213
15,19377.97495
16,22363.70464
17,21132.97675
18,26241.54011
19,29161.46015
20,24510.10412
21,26341.68432
22,27437.19503
23,21791.95521
24,22299.26898
25,23041.99864
26,18862.54404
27,20271.34454
28,22105.01257
29,19426.32241
30,22748.7097
31,27013.52356
32,23769.4922
33,25600.7261
34,26559.87825
35,21616.0338
36,22815.8985
37,24169.65279
38,20460.49932
39,22684.81359
40,25741.16748
41,23632.93537
42,28565.62827
43,31555.09431
44,26563.87775
45,28558.37107
46,29631.05959
47,23428.6794
48,23908.24001
49,24456.8064
50,19920.7619
51,21392.34296
52,23197.7644
53,20273.74115
54,23640.61741
55,28116.64729
56,24774.85319
57,26549.35118
58,27463.67827
59,22344.10825
60,23529.95398
61,25044.78449
62,21324.92924
63,23669.53926
64,26406.5465
65,23912.54382
66,28542.62648
67,31439.16923
68,26403.49607
69,28254.79806
70,29251.25489
71,23118.20923
72,23548.97925
73,24276.41341
74,19813.6807
75,21253.08613
76,23026.29989
77,20113.59127
78,23458.707
79,27928.0257
80,24518.3508
81,26383.45804
82,27567.63322
83,22388.95633
84,23580.93283
85,24980.61323
86,21085.72788
87,23237.20858
88,26075.31837
89,23613.0685
90,28042.11119
91,30701.87092
92,25570.06125
93,27279.87459
94,28369.77977
95,22610.9616
96,23139.10589
97,23763.5673
98,19252.7094
99,20904.46301
100,22348.04224
101,19026.73177
102,21372.58632
103,24376.02575
104,21383.71072
105,24343.82139
106,27221.78802
107,22981.59936
108,25062.40647
109,26946.59926
110,22734.96434
111,24981.42403
112,27299.14119
113,23814.00139
114,27481.17276
115,29765.50615
116,24726.09026
117,26271.40902
118,27371.37716
119,21831.18053
120,22489.53972
121,23326.98526
122,18976.83576
123,20183.31388
124,21564.81224
125,18319.0474
126,20120.8715
127,22538.59484
128,19486.77935
129,21523.85809
130,23752.87503
131,20322.6648
132,22121.17971
133,24157.86964
134,20645.64503
135,22930.55627
136,25506.75009
137,22818.85698
138,27154.56674
139,29756.40502
140,24812.25321
141,26331.93093
142,27050.98469
143,21668.05989
144,22091.47307
145,22591.24864
146,18558.30825
147,20147.90874
148,21817.89338
149,18695.68031
150,21703.91701
151,26507.20376
152,23763.17559
153,25821.58057
154,27501.09925
155,22662.75252
156,24277.09529
157,25951.82279
158,21964.06721
159,24149.97513
160,26868.60381
