Interval,Regulation Up,Regulation Down,Spinning Reserve,Nonspinning reserve
1,5.27,2.12,2.92,0.08
2,1,2.31,1,0.1
3,5.42,2.61,1,0.1
4,4.26,2.61,1,0.1
5,2.83,2.61,1,0.1
6,3.8,3.18,1,0.1
7,5.02,3.91,1,0.08
8,9.69,3.54,1,0.08
9,2.94,0,1.11,0.08
10,2.65,3.9,0.82,0.08
11,2.83,3.9,1,0.08
12,1.93,4.37,0.1,0.08
13,1.93,4.71,0.1,0.08
14,1.88,5.32,0.1,0.08
15,1.92,5.18,0.1,0.08
16,2.57,8.21,0.74,0.08
17,13.49,0,2.33,0.08
18,13.58,2.41,9.69,0.08
19,14.01,2.41,10.12,0.08
20,13.93,2.41,10.04,0.08
21,28.6,5.47,9.6,0.08
22,22.83,2.41,6.73,0.08
23,17.62,2.12,4.85,0.08
24,4.05,2.6,4.05,0.08
25,4.02,3.55,4.02,0.09
26,0.69,3.49,0.69,0.1
27,1.91,2.94,0.1,0.1
28,1.91,3.12,0.1,0.1
29,2.5,2.94,0.7,0.1
30,7.31,2.11,3.42,0.1
31,11.4,3.99,7.51,0.09
32,15.32,4.61,11.43,0.09
33,8.8,6.25,7.26,0.09
34,7.07,6.51,4.03,0.09
35,7.07,7.07,3.5,0.09
36,7.06,7.07,4.38,0.09
37,5.65,7.07,3.22,0.09
38,2.54,5.1,1,0.09
39,3.84,5.1,1,0.09
40,4.85,5.1,1,0.09
41,7.07,2.3,3.18,0.09
42,15.4,2.59,9.41,0.1
43,15.02,2.59,13.48,0.1
44,14.99,2.59,11.22,0.1
45,13.67,2.59,7.72,0.09
46,8.29,2.59,5.55,0.09
47,7.06,3.62,3.21,0.09
48,5.02,2.94,3.25,0.09
49,1,2.96,1,0.09
50,1.87,2.97,0.1,0.1
51,1.87,2.97,0.1,0.1
52,1.86,2.97,0.1,0.1
53,0.1,3.49,0.1,0.1
54,4.47,0,1,0.1
55,7.07,4.36,3.18,0.09
56,7.07,2.62,3.18,0.09
57,7.07,6.34,3.47,0.09
58,7.07,7.02,3.18,0.09
59,5.89,4.88,2,0.09
60,4.54,4.89,1.64,0.09
61,4.13,4.89,1.1,0.09
62,4.05,4.89,2,0.09
63,2.9,4.1,1.36,0.09
64,5.79,4.28,2,0.09
65,7.04,2.98,3.17,0.09
66,5.95,2.62,4,0.09
67,6.19,2.62,4,0.09
68,4.74,2.62,3,0.09
69,4.14,2.61,2.6,0.09
70,4.24,2.62,2.7,0.09
71,7.07,3.61,3.18,0.09
72,2.88,0.87,2.88,0.09
73,1,2.78,1,0.09
74,2.08,3.08,0.38,0.1
75,1.47,3.08,0.1,0.1
76,1.8,3.08,0.1,0.1
77,1.81,3.71,0.1,0.1
78,2.71,5.41,1,0.1
79,5.2,4.17,1,0.09
80,5.31,4.17,1,0.09
81,7.07,3.56,3.18,0.09
82,7.07,3.56,3.18,0.09
83,7.07,3.57,3.18,0.09
84,5.07,3.57,1,0.09
85,3.64,3.57,1,0.09
86,3.33,3.56,0.7,0.09
