input_size_instances,input_sizes,H2comp_cap_cost_s
s1,0.02,44409.87363
s2,0.1,38257.60151
s3,0.2,30567.26137
s4,0.4,23738.54042
s5,0.6,20597.18785
s6,1,17216.63884
s7,1.2,16195.38463
s8,1.4,15325.18236
s9,1.6,14583.51302
s10,1.8,14005.6925
s11,2,13507.01793
s12,2.4,12666.75213
s13,4,10625.47864
s14,6,11463.0548
s15,10,17764.85547
s16,12,14674.60899
s17,18,24822.51115
s18,20,18493.97711
s19,24,19786.20295
s20,40,25017.546
s21,100,25900.60814
s22,200,25961.45263
