Interval,HA_CISD
1,59.7583
2,62.1946
3,62.21175
4,60.48306
5,59.25063
6,65.90605
7,85.98363
8,104.56107
9,59.60124
10,65.51084
11,56.96308
12,56.79243
13,59.66025
14,61.45963
15,61.41198
16,69.12654
17,77.73828
18,84.78382
19,97.06462
20,81.66811
21,76.45292
22,104.11384
23,66.00444
24,62.22471
25,63.05016
26,63.44893
27,63.26154
28,62.91831
29,63.41102
30,65.68444
31,72.00518
32,68.91238
33,58.15217
34,62.34577
35,59.50958
36,58.00146
37,57.40734
38,59.80662
39,61.1407
40,67.48251
41,74.02834
42,79.60233
43,75.46229
44,72.95582
45,80.37673
46,64.92078
47,64.16981
48,62.99987
49,63.37049
50,64.92078
51,61.95282
52,64.92078
53,62.24197
54,66.00444
55,139.11502
56,76.38971
57,57.96741
58,64.92078
59,60.11901
60,58.75716
61,58.72866
62,59.89088
63,60.02211
64,65.20745
65,71.85518
66,78.42227
67,83.48339
68,67.94866
69,81.64112
70,70.87059
71,66.00444
72,64.92078
73,63.58146
74,63.10344
75,63.2822
76,62.85273
77,1772.73602
78,68.34985
79,68.54256
80,56.83742
81,48.0265
82,58.20595
83,53.25011
84,47.21987
85,48.08089
86,47.85514
87,49.23043
88,57.49548
89,70.18249
90,77.77146
91,81.26781
92,76.86304
93,62.85273
94,76.03633
95,61.7597
96,60.60654
97,59.42687
98,62.10196
99,64.36845
100,64.08724
101,61.40629
102,61.93855
103,60.45708
104,47.48784
105,43.83227
106,34.66169
107,30.19397
108,28.76455
109,28.2563
110,28.83379
111,28.53176
112,63.25728
113,67.02747
114,76.13666
115,70.80702
116,76.12981
117,72.40965
118,81.01643
119,64.62567
120,63.38882
121,63.76708
122,64.92078
123,64.92078
124,66.00444
125,65.35836
126,74.88745
127,74.92634
128,74.87828
129,63.93501
130,62.88338
131,60.03908
132,54.70212
133,54.75182
134,56.48738
135,59.8812
136,77.80099
137,75.99884
138,77.17437
139,84.74718
140,81.85009
141,85.46248
142,79.44975
143,70.80925
144,60.90464
145,62.10415
146,61.84275
147,62.06637
148,60.92521
149,61.14195
150,69.28659
151,81.97896
152,86.16541
153,61.66723
154,64.94773
155,60.42625
156,59.83876
157,59.5362
158,59.65116
159,63.30945
160,67.50236
161,128.81115
162,191.72817
163,193.71568
164,104.19242
165,81.2403
166,73.29563
167,70.15708
168,61.5051
169,62.50041
170,62.85273
171,63.14965
172,64.13824
173,64.91439
174,72.35875
175,81.00881
176,64.16981
177,59.37099
178,59.74115
179,58.09599
180,57.95975
181,57.10676
182,57.55229
183,58.0945
184,72.84902
185,70.10759
186,75.24026
187,75.19604
188,65.84738
189,67.50236
190,70.77388
191,69.53989
192,58.80131
193,61.20371
194,61.67624
195,61.70351
196,59.61155
197,58.80131
198,76.79131
199,83.89378
200,67.49228
201,57.54324
202,59.30001
203,56.12696
204,56.56736
205,53.29993
206,57.65652
