Interval,RT_CIPV
1,63.58798
2,65.4304
3,63.1961
4,63.1961
5,63.11005
6,63.11005
7,82.10581
8,90.30842
9,65.4304
10,63.1961
11,62.1557
12,61.76048
13,61.76048
14,61.76048
15,61.76048
16,69.21404
17,68.35179
18,69.21404
19,85.61495
20,85.19754
21,79.99693
22,81.18644
23,69.21404
24,63.1961
25,64.44085
26,63.1961
27,63.1961
28,63.1961
29,63.34934
30,63.1961
31,92.51481
32,5052.36976
33,63.01778
34,63.1961
35,63.11005
36,63.01778
37,62.1557
38,61.76048
39,62.1557
40,65.4304
41,68.35179
42,69.21404
43,71.41958
44,3164.31134
45,4099.3134
46,72.80826
47,63.1961
48,62.1557
49,63.1961
50,63.01778
51,63.11005
52,63.1961
53,63.1961
54,63.11005
55,74.31614
56,99.72549
57,63.11005
58,63.1961
59,63.1045
60,62.1557
61,61.76048
62,61.76048
63,62.1557
64,65.34492
65,69.21404
66,87.2014
67,74.31614
68,4088.38753
69,99.3134
70,69.21404
71,63.34934
72,63.11005
73,63.1961
74,63.11005
75,63.1961
76,63.11005
77,63.11005
78,63.54522
79,63.11005
80,63.1961
81,61.76048
82,61.19088
83,61.19088
84,61.76048
85,61.76048
86,63.11005
87,63.11005
88,65.4304
89,66.44753
90,90.69495
91,4069.21392
92,5061.26084
93,69.21404
94,69.21404
95,63.1961
96,63.11005
97,63.11005
98,63.11005
99,67.05419
100,68.08369
101,63.1961
102,65.4304
103,63.1961
104,63.11005
105,61.19088
106,61.19088
107,60.83169
108,60.83169
109,60.83169
110,60.83169
111,60.83169
112,63.1961
113,65.4304
114,69.21404
115,68.56706
116,88.35623
117,4095.50925
118,4731.73628
119,65.4304
120,63.34934
121,63.59154
122,65.4304
123,64.39775
124,64.21218
125,64.9558
126,69.21404
127,108.51345
128,95.57191
129,63.11005
130,61.76048
131,60.83169
132,61.19088
133,61.76048
134,62.88692
135,63.11005
136,65.4304
137,68.35179
138,75.96603
139,78.98093
140,70.70198
141,69.21404
142,69.21404
143,68.35179
144,63.01778
145,63.01778
146,63.01778
147,63.01778
148,62.6408
149,62.1557
150,63.1961
151,67.74156
152,85.37884
153,63.06294
154,62.6408
155,63.11005
156,61.76048
157,61.76048
158,61.76048
159,63.34934
160,91.2893
161,2108.7068
162,106.65366
163,85.61495
164,2125.73719
