Interval,DA_CISC
1,63.70051
2,64.2931
3,65.6422
4,64.41914
5,66.0314
6,70.08637
7,86.48389
8,105.63179
9,63.89281
10,63.22294
11,56.17204
12,51.83537
13,55.79166
14,59.43523
15,63.70051
16,73.90318
17,87.5573
18,112.01191
19,139.81601
20,89.24724
21,88.59381
22,88.02116
23,76.67444
24,64.48795
25,67.31027
26,67.34099
27,67.35268
28,67.42326
29,67.32995
30,66.94419
31,86.49325
32,74.51706
33,63.53113
34,62.09506
35,61.91307
36,60.05822
37,61.91307
38,62.09506
39,63.53113
40,69.9967
41,86.09032
42,195
43,195
44,185.55596
45,175.08215
46,74.51706
47,69.8443
48,67.87576
49,70.36402
50,70.25828
51,66.32574
52,67.40694
53,65.17664
54,63.89281
55,501.07128
56,84.44021
57,62.09506
58,58.24952
59,57.02231
60,55.75497
61,56.91027
62,60.62239
63,62.09506
64,67.8659
65,579.3532
66,3363.73348
67,3363.7321
68,3558.40253
69,206.27839
70,579.3532
71,77.05025
72,245.32141
73,2418.52763
74,2419.11008
75,2416.40523
76,77.39545
77,293.41858
78,189.6231
79,79.45106
80,63.70051
81,57.97095
82,50.14653
83,57.97095
84,33.88365
85,32.60781
86,38.89609
87,45.97756
88,61.15465
89,71.11712
90,2258.23871
91,2238.53618
92,135.45383
93,62.65522
94,86.77986
95,62.43588
96,65.98813
97,66.98559
98,70.52657
99,76.94133
100,68.5513
101,66.57333
102,64.7422
103,63.70051
104,52.62397
105,38.08161
106,31.36477
107,31.64958
108,31.87639
109,33.02945
110,36.52051
111,38.69594
112,77.92025
113,170.54972
114,6000
115,5614.89847
116,6000
117,5161.95966
118,5218.53585
119,2407.36861
120,2412.89482
121,72.69114
122,72.61411
123,72.59277
124,72.3829
125,69.02611
126,71.88976
127,114.79317
128,77.83689
129,62.62186
130,60.01445
131,59.43523
132,57.40703
133,57.97095
134,62.62186
135,62.62186
136,74.9019
137,90.35953
138,165.20048
139,122.97074
140,105.74727
141,104.18799
142,82.98583
143,78.39074
144,65.75227
145,67.53701
146,67.16228
147,67.48492
148,67.26435
149,66.19575
150,70.56805
151,83.8284
152,87.305
153,63.70051
154,61.91307
155,61.91307
156,59.87825
157,59.43141
158,61.91307
159,63.70051
160,71.21714
161,79.93714
162,83.92015
163,96.02891
164,83.8284
165,83.8284
166,76.04206
167,71.5283
168,67.13819
169,70.21316
170,70.29037
171,70.56304
172,70.01287
173,69.58752
174,75.90521
175,121.8102
176,67.54048
177,61.91307
178,61.91307
179,57.97095
180,55.79166
181,55.79166
182,61.67822
183,61.91307
184,69.9018
185,95.44715
186,103.54357
187,195
188,105.32901
189,106.98191
190,79.72685
191,72.87961
192,62.09506
193,63.89281
194,63.70051
195,62.86584
196,62.2395
197,61.30134
198,72.04219
199,105.11027
200,63.89281
201,60.56935
202,59.47141
203,59.47141
204,57.31867
205,56.82756
206,59.47141
207,62.03143
208,72.68744
209,77.27211
210,195
211,167.23853
212,77.49475
213,83.02815
214,77.49475
215,73.95063
216,69.22252
217,70.24402
218,68.2475
219,68.23411
220,68.00628
221,67.91091
222,76.16795
223,103.66029
224,70.25045
225,62.09506
226,59.55099
227,56.91027
228,51.98416
229,54.08339
230,59.43523
231,62.09506
232,67.68116
233,106.22958
234,82.95887
235,86.22475
236,84.57461
237,84.53828
238,70.76518
239,68.21115
240,65.04467
241,68.66618
242,69.7007
243,69.04749
244,68.11075
245,69.09104
246,69.70753
247,70.77389
248,68.11075
249,72.26564
250,67.7658
251,63.89281
252,63.89281
253,68.11075
254,68.11075
255,68.5655
256,73.78104
257,69.31539
258,99.86076
259,104.76683
260,77.64469
261,71.29027
262,75.12955
263,66.63275
264,65.31554
265,66.34028
266,66.93179
267,69.49132
268,67.54959
269,66.98198
270,68.19305
271,70.53752
272,63.70051
273,57.31582
274,54.08339
275,47.54301
276,30.63618
277,34.29554
278,33.17849
279,56.1178
280,62.85908
281,78.90797
282,106.31527
283,105.98136
284,78.90797
285,78.90797
286,76.6882
287,67.91575
288,63.53113
289,71.31605
290,75.34144
291,77.8307
292,74.45188
293,75.13131
294,76.34684
295,84.98889
296,131.57322
297,66.43917
298,62.09506
299,55.34125
300,50.78893
301,50.36488
302,58.7483
303,66.43917
304,77.73473
305,84.59168
306,97.31533
307,191.04966
308,85.23856
309,85.23856
310,92.63628
311,86.92474
312,74.62424
313,66.10956
314,69.05729
315,67.64192
316,65.93381
317,65.24188
318,76.68415
319,97.40002
320,64.65399
321,59.89698
322,57.97095
323,55.70598
324,52.66106
325,57.97095
326,60.97923
327,63.36053
328,72.43263
329,79.86264
330,80.28829
331,107.52888
332,84.63279
333,79.86264
334,78.94314
335,71.3262
336,66.48147
337,66.14823
338,66.3777
339,66.3777
340,66.49399
341,66.3777
342,76.97598
343,94.64932
344,66.3777
345,63.89281
346,61.91307
347,65.787
348,66.3777
349,66.3777
350,66.3777
351,70.341
352,74.03379
353,75.89736
354,97.42338
355,121.85106
356,78.41128
357,73.38924
358,83.94618
359,82.17742
360,70.61967
361,69.33437
362,68.12889
363,68.32189
364,67.57576
365,66.95104
366,80.34446
367,103.95638
368,68.62584
369,62.09506
370,55.79166
371,45.20648
372,47.50086
373,53.44563
374,59.43523
375,62.09506
376,72.25734
377,85.75809
378,136.92107
379,195
380,136.02099
381,84.44901
382,93.4294
383,81.73611
384,68.82166
385,63.89281
386,67.30219
387,64.59246
388,65.15478
389,63.89281
390,83.40173
391,81.49319
392,66.16417
393,61.91307
394,60.2118
395,55.79166
396,55.84826
397,57.97095
398,61.91307
399,62.28324
400,74.74288
401,102.47858
402,83.44874
403,98.29671
404,83.44874
405,89.99616
406,77.58425
407,80.8435
408,67.06042
409,63.79097
410,66.98514
411,67.89788
412,68.00727
413,63.79097
414,68.35165
415,78.2083
416,80.60338
417,61.91307
418,61.91307
419,51.58503
420,34.03179
421,39.39271
422,48.44476
423,61.91307
424,69.23147
425,87.65823
426,86.60236
427,113.83927
428,113.83927
429,85.70655
430,76.83432
431,75.21377
432,71.56816
433,74.2975
434,72.93968
435,72.88392
436,72.29369
437,72.86359
438,69.16904
439,76.48066
440,65.13211
441,55.79166
442,55.79166
443,37.60808
444,45.68423
445,42.1858
446,41.30143
447,55.79166
448,63.70051
449,75.81204
450,77.20819
451,100.08619
452,73.94815
453,78.87513
454,74.03138
455,67.40618
456,67.25581
457,74.72523
458,68.40198
459,68.38745
460,68.03581
461,64.98693
462,71.81201
463,100.00075
464,68.13478
465,61.91307
466,60.07607
467,46.70341
468,42.38868
469,43.77227
470,47.77601
471,61.91307
472,72.09417
