Interval,HA_CISC
1,63.89281
2,66.8581
3,66.85344
4,63.89281
5,62.2395
6,66.6293
7,85.73199
8,123.14821
9,63.70051
10,71.0711
11,61.91307
12,61.91307
13,63.70051
14,66.16268
15,66.22384
16,76.66514
17,86.56508
18,84.73271
19,98.9214
20,83.30559
21,87.85705
22,127.0603
23,73.61211
24,66.20001
25,67.64192
26,68.18527
27,67.79791
28,67.17082
29,67.21455
30,68.83299
31,78.8997
32,76.41891
33,62.09506
34,67.00489
35,63.53113
36,61.99054
37,61.91307
38,63.53113
39,65.10551
40,73.75788
41,80.15451
42,78.56973
43,76.76901
44,72.89614
45,86.19554
46,68.74236
47,68.64185
48,67.33059
49,67.96497
50,70.2438
51,66.02593
52,70.23977
53,65.13179
54,66.44234
55,170.21916
56,84.65927
57,63.70051
58,69.8765
59,63.70051
60,62.09506
61,62.09506
62,63.70051
63,63.89281
64,70.76776
65,78.57849
66,77.29987
67,85.40751
68,68.19305
69,87.16497
70,76.87315
71,70.89217
72,69.95498
73,68.25341
74,67.75698
75,68.13918
76,68.69827
77,2406.63186
78,76.72201
79,76.60319
80,65.41775
81,54.01759
82,68.23527
83,61.97906
84,53.99948
85,55.79166
86,55.79166
87,55.57298
88,67.73413
89,77.75459
90,86.82202
91,91.10102
92,85.66076
93,66.69026
94,85.3859
95,66.11717
96,64.99546
97,64.4894
98,68.19305
99,70.09672
100,71.0616
101,69.89097
102,69.84608
103,64.27475
104,51.13568
105,46.71333
106,34.57772
107,28.85074
108,27.2127
109,27.2127
110,27.79585
111,27.2127
112,68.85574
113,72.39268
114,75.96729
115,70.74128
116,78.35001
117,77.94222
118,91.25031
119,69.11908
120,67.86206
121,69.68452
122,70.98387
123,71.26342
124,72.73954
125,70.21341
126,75.68154
127,75.75639
128,76.64599
129,66.38922
130,65.76144
131,63.07721
132,60.78597
133,61.14981
134,63.89281
135,63.89281
136,87.7663
137,82.86318
138,78.51239
139,86.42511
140,83.51633
141,87.11763
142,88.11674
143,77.63491
144,64.34936
145,66.11143
146,65.87734
147,66.33791
148,64.49803
149,63.85488
150,69.52075
151,81.84621
152,95.30208
153,64.91375
154,69.96983
155,65.06008
156,63.70051
157,63.70051
158,63.89281
159,69.03344
160,74.75134
161,156.45264
162,195
163,195
164,106.36263
165,90.00782
166,80.81464
167,81.77296
168,65.6969
169,67.27677
170,68.02003
171,68.56878
172,69.28138
173,69.21708
174,72.43533
175,82.2035
176,66.7639
177,62.22489
178,63.70051
179,61.91307
180,61.91307
181,60.88459
182,61.54358
183,62.2395
184,82.07873
185,76.88833
186,76.4357
187,78.31612
188,69.67519
189,72.27502
190,77.88213
191,77.17264
192,62.09823
193,65.73495
194,66.32735
195,65.92652
196,63.53113
197,60.94574
198,77.02816
199,83.87389
200,71.30432
201,61.91307
202,63.07232
203,59.03687
204,63.70051
205,59.43523
206,63.70051
207,63.70051
208,74.58368
209,78.28806
210,77.70594
211,80.83216
212,78.85254
213,80.4892
214,162.58554
215,82.76321
216,71.49344
217,71.44877
218,71.04041
219,69.96621
220,67.37519
221,66.65179
222,75.76535
223,82.86901
224,69.98668
225,63.89281
226,63.89281
227,62.2395
228,61.91307
229,57.97095
230,62.09506
231,62.09506
232,70.49823
233,95.06815
234,72.10968
235,107.81457
236,76.44478
237,92.71406
238,76.66649
239,70.27685
240,62.09506
241,67.64192
242,68.64981
243,73.49664
244,77.45496
245,2398.59278
246,76.10706
247,70.75407
248,69.1622
249,2450.10873
250,54.08339
251,31.23649
252,35.02312
253,35.23557
254,57.97095
255,63.70051
256,81.85539
257,77.46222
258,88.99252
259,83.63478
260,86.13619
261,67.64192
262,76.47646
263,68.0165
264,63.89281
265,63.89281
266,66.95457
267,68.51106
268,69.11646
269,63.89281
270,67.76385
271,68.55873
272,57.97095
273,33.05614
274,57.97095
275,30.78075
276,28.85074
277,30.8308
278,31.75996
279,53.24861
280,63.70051
281,70.8075
282,70.63088
283,79.61024
284,78.39927
285,81.61962
286,85.16927
287,67.71675
288,62.2395
289,69.21952
290,73.18021
291,74.9882
292,77.45423
293,76.34744
294,79.22765
295,76.12722
296,87.21346
297,63.70051
298,63.70051
299,56.91027
300,53.38857
301,54.99685
302,62.09506
303,66.07843
304,80.81525
305,78.03795
306,82.34752
307,89.76266
308,80.8934
309,82.43179
310,87.22294
311,78.04024
312,73.61548
313,67.1646
314,69.4743
315,66.88142
316,67.00842
317,64.73383
318,76.86054
319,82.38848
320,66.23429
321,62.56401
322,63.89281
323,60.8721
324,57.97095
325,61.91307
326,61.91307
327,63.33179
328,69.70443
329,77.00935
330,80.23528
331,90.25066
332,80.98271
333,78.75539
334,90.77944
335,84.69872
336,69.7857
337,76.90064
338,76.75853
339,69.39075
340,66.95925
341,66.8454
342,75.87732
343,84.81091
344,66.86231
345,66.63413
346,59.37318
347,58.68543
348,37.16856
349,49.90122
350,62.2395
351,63.70051
352,76.44189
353,84.73614
354,83.31351
355,92.52783
356,145.84751
357,90.85245
358,81.59712
359,81.66824
360,67.75692
361,67.83288
362,67.7964
363,68.55726
364,67.72818
365,64.25568
366,76.10158
367,165.49184
368,71.2777
369,63.89281
370,62.23181
371,52.48943
372,51.30189
373,49.29668
374,61.91307
375,67.97799
376,77.72136
377,76.96342
378,78.4597
379,81.50641
380,81.96314
381,80.99893
382,90.91392
383,83.61307
384,67.18438
385,63.89281
386,67.33557
387,67.1402
388,68.48173
389,66.73682
390,82.34621
391,77.94735
392,68.22503
393,62.2395
394,63.89281
395,57.80364
396,57.97095
397,57.97095
398,59.60282
399,62.09506
400,72.08823
401,82.62204
402,76.44745
403,83.24814
404,77.03927
405,83.07978
406,85.35279
407,82.66279
408,67.96406
409,64.22039
410,67.60355
411,68.3214
412,68.03551
