Interval,HA_CIPB
1,63.59437
2,63.58425
3,63.11005
4,63.11005
5,63.11005
6,63.11005
7,69.21404
8,69.21404
9,63.01778
10,80.65774
11,65.4304
12,65.4304
13,63.11005
14,62.6408
15,62.1557
16,68.56706
17,69.21404
18,82.88532
19,97.46707
20,79.72164
21,78.21144
22,156.12572
23,69.21404
24,63.11005
25,64.92648
26,65.4304
27,63.55076
28,63.34934
29,64.89532
30,64.88104
31,69.21404
32,70.42158
33,62.39972
34,82.5225
35,63.11005
36,63.11005
37,63.11005
38,63.11005
39,63.11005
40,65.4304
41,74.31614
42,74.31614
43,76.82885
44,70.92959
45,86.76111
46,85.3849
47,64.89532
48,63.01778
49,63.34934
50,63.1961
51,63.1961
52,64.9138
53,63.34934
54,63.1961
55,73.10763
56,78.11182
57,62.1557
58,65.44468
59,63.01778
60,63.11005
61,62.6408
62,62.6408
63,63.01778
64,65.4304
65,69.21404
66,75.24647
67,83.56782
68,89.24139
69,116.01856
70,79.90449
71,65.4304
72,64.44962
73,65.4304
74,63.34934
75,67.17368
76,63.40778
77,63.1961
78,69.59383
79,64.03904
80,63.01778
81,62.6408
82,63.11005
83,58.6638
84,61.19088
85,63.11005
86,63.11005
87,63.11005
88,65.4304
89,73.10763
90,81.44742
91,85.73619
92,101.84211
93,69.21404
94,96.46451
95,63.34934
96,63.01778
97,63.01778
98,63.1961
99,68.35179
100,68.35179
101,63.1961
102,65.4304
103,63.34934
104,63.1961
105,62.6408
106,64.98817
107,60.83169
108,60.83169
109,60.83169
110,60.83169
111,57.93838
112,63.1961
113,68.35179
114,69.21404
115,68.56706
116,69.21404
117,74.0171
118,118.73641
119,66.62108
120,65.4304
121,67.18665
122,65.4304
123,65.4304
124,65.4304
125,65.4304
126,69.21404
127,74.08112
128,82.63926
129,65.4304
130,65.4304
131,61.92846
132,62.6408
133,63.11005
134,63.1961
135,63.34934
136,82.33186
137,69.21404
138,78.79935
139,85.3905
140,82.72164
141,86.23154
142,102.66225
143,83.59484
144,63.1961
145,63.34934
146,63.34934
147,63.1961
148,63.1961
149,63.1961
150,67.98845
151,74.31614
152,106.65366
153,64.061
