Interval,RT_CISC
1,64.28954
2,67.80627
3,67.04606
4,64.50019
5,63.70051
6,68.91661
7,83.90672
8,95.69371
9,62.09506
10,63.70051
11,63.70051
12,63.70051
13,62.2395
14,67.64192
15,67.76584
16,82.28806
17,2412.46992
18,84.53228
19,1950.55371
20,88.54309
21,74.85628
22,91.23787
23,73.02375
24,63.89281
25,67.30648
26,66.99918
27,67.02493
28,67.1464
29,67.46088
30,66.9035
31,94.14388
32,2643.67188
33,63.70051
34,62.09506
35,57.19244
36,55.79166
37,55.79166
38,57.97095
39,63.70051
40,70.26582
41,4667.3395
42,2340.65552
43,3355.58287
44,4115.55761
45,2421.60631
46,67.06604
47,67.35258
48,64.47231
49,65.40211
50,67.29607
51,62.94588
52,66.73849
53,65.04473
54,64.84673
55,85.08024
56,88.85931
57,62.09506
58,61.91307
59,61.91307
60,57.97095
61,57.97095
62,61.91307
63,63.70051
64,70.66531
65,2412.02037
66,89.09973
67,3348.09883
68,2401.50509
69,97.75488
70,73.74795
71,69.6689
72,68.41184
73,66.78335
74,67.53306
75,68.17638
76,68.16256
77,76.83113
78,69.22951
79,68.64035
80,68.58326
81,55.79166
82,63.70051
83,61.91307
84,42.88845
85,50.36488
86,40.91531
87,50.36488
88,67.61734
89,87.052
90,98.48599
91,2476.48184
92,2646.59229
93,62.08909
94,66.78502
95,61.91307
96,62.72536
97,63.89281
98,68.38271
99,68.19305
100,68.19305
101,66.17879
102,63.70051
103,62.09506
104,55.34125
105,45.97427
106,27.76215
107,27.36018
108,18.42736
109,27.2127
110,31.36157
111,33.17225
112,73.71104
113,69.60806
114,3372.23879
115,3352.94903
116,90.33193
117,2177.29546
118,2479.20174
119,67.20717
120,63.89281
121,68.47145
122,71.78138
123,69.57554
124,69.61272
125,68.90154
126,73.05
127,108.77186
128,80.63534
129,63.51697
130,59.68913
131,55.79166
132,55.34125
133,55.79166
134,59.43523
135,58.56774
136,74.62185
137,71.27908
138,97.98226
139,91.77769
140,81.7528
141,83.10481
142,70.79814
143,66.30451
144,60.33427
145,61.91307
146,62.09506
147,62.6371
148,62.2395
149,61.91307
150,63.89281
151,70.34976
152,77.53776
153,63.70051
154,62.31158
155,57.97095
156,57.32192
157,56.91027
158,57.32192
159,68.85256
160,99.15981
161,2514.47942
162,108.80324
163,2413.53613
164,2542.42133
165,90.20248
166,67.64192
167,66.42002
168,60.31424
169,63.89281
170,66.70285
171,66.27822
172,62.49634
173,60.03948
174,62.09506
175,66.78724
176,61.91307
177,56.5332
178,55.79166
179,50.61831
180,49.58867
181,52.62083
182,59.3023
183,62.32975
184,2397.16039
185,62.64218
186,62.2395
187,63.70051
188,62.2395
189,62.58433
190,68.59165
191,66.09515
192,59.64
193,62.09506
194,61.25099
195,61.20419
196,60.41522
197,59.64633
198,95.02185
199,92.71986
200,63.07533
201,57.83719
202,55.79166
203,55.34125
204,55.79166
205,53.41028
206,55.34125
207,64.85601
208,80.65958
209,92.16565
210,92.88325
211,4115.77865
212,79.0615
213,2662.75869
214,93.93343
215,71.104
216,64.13112
217,63.89281
218,63.70051
219,63.70051
220,63.70051
221,63.70051
222,66.5627
223,391.50956
224,66.28857
225,62.09506
226,59.37845
227,55.79166
228,50.36488
229,50.36488
230,55.79166
231,56.91027
232,66.14993
233,73.39517
234,66.65349
235,67.42256
