Interval,Regulation Up,Regulation Down,Spinning Reserve,Nonspinning reserve
1,7,7,6,0
2,7,7,6,0
3,7,7,6,0
4,7,7,6,0
5,7,7,6,0
6,7,7,6,0
7,7,7,6,0
8,7,7,6,0
9,7,7,6,0
10,7,7,6,0
11,7,7,6,0
12,7,7,6,0
13,7,7,6,0
14,7,7,6,0
15,7,7,6,0
16,7,7,6,0
17,7,7,6,0
18,7,7,6,0
19,7,7,6,0
20,7,7,6,0
21,7,7,6,0
22,7,7,6,0
23,7,7,6,0
24,7,7,6,0
25,7,7,6,0
26,7,7,6,0
27,7,7,6,0
28,7,7,6,0
29,7,7,6,0
30,7,7,6,0
31,7,7,6,0
32,7,7,6,0
33,7,7,6,0
34,7,7,6,0
35,7,7,6,0
36,7,7,6,0
37,7,7,6,0
38,7,7,6,0
39,7,7,6,0
40,7,7,6,0
41,7,7,6,0
42,7,7,6,0
43,7,7,6,0
44,7,7,6,0
45,7,7,6,0
46,7,7,6,0
47,7,7,6,0
48,7,7,6,0
49,7,7,6,0
50,7,7,6,0
51,7,7,6,0
52,7,7,6,0
53,7,7,6,0
54,7,7,6,0
55,7,7,6,0
56,7,7,6,0
57,7,7,6,0
58,7,7,6,0
59,7,7,6,0
60,7,7,6,0
61,7,7,6,0
62,7,7,6,0
63,7,7,6,0
64,7,7,6,0
65,7,7,6,0
66,7,7,6,0
67,7,7,6,0
68,7,7,6,0
69,7,7,6,0
70,7,7,6,0
71,7,7,6,0
72,7,7,6,0
73,7,7,6,0
74,7,7,6,0
75,7,7,6,0
76,7,7,6,0
77,7,7,6,0
78,7,7,6,0
79,7,7,6,0
80,7,7,6,0
81,7,7,6,0
82,7,7,6,0
83,7,7,6,0
84,7,7,6,0
85,7,7,6,0
86,7,7,6,0
87,7,7,6,0
88,7,7,6,0
89,7,7,6,0
90,7,7,6,0
91,7,7,6,0
92,7,7,6,0
93,7,7,6,0
94,7,7,6,0
95,7,7,6,0
96,7,7,6,0
97,7,7,6,0
98,7,7,6,0
99,7,7,6,0
100,7,7,6,0
101,7,7,6,0
102,7,7,6,0
103,7,7,6,0
104,7,7,6,0
105,7,7,6,0
106,7,7,6,0
107,7,7,6,0
108,7,7,6,0
109,7,7,6,0
110,7,7,6,0
111,7,7,6,0
112,7,7,6,0
113,7,7,6,0
114,7,7,6,0
115,7,7,6,0
116,7,7,6,0
117,7,7,6,0
118,7,7,6,0
119,7,7,6,0
120,7,7,6,0
121,7,7,6,0
122,7,7,6,0
123,7,7,6,0
124,7,7,6,0
125,7,7,6,0
126,7,7,6,0
127,7,7,6,0
128,7,7,6,0
129,7,7,6,0
130,7,7,6,0
131,7,7,6,0
132,7,7,6,0
133,7,7,6,0
134,7,7,6,0
135,7,7,6,0
136,7,7,6,0
137,7,7,6,0
138,7,7,6,0
139,7,7,6,0
140,7,7,6,0
141,7,7,6,0
142,7,7,6,0
143,7,7,6,0
144,7,7,6,0
145,7,7,6,0
146,7,7,6,0
147,7,7,6,0
148,7,7,6,0
149,7,7,6,0
150,7,7,6,0
151,7,7,6,0
152,7,7,6,0
153,7,7,6,0
154,7,7,6,0
155,7,7,6,0
156,7,7,6,0
157,7,7,6,0
158,7,7,6,0
159,7,7,6,0
160,7,7,6,0
161,7,7,6,0
162,7,7,6,0
163,7,7,6,0
164,7,7,6,0
165,7,7,6,0
166,7,7,6,0
167,7,7,6,0
168,7,7,6,0
169,7,7,6,0
170,7,7,6,0
171,7,7,6,0
172,7,7,6,0
173,7,7,6,0
174,7,7,6,0
175,7,7,6,0
176,7,7,6,0
177,7,7,6,0
178,7,7,6,0
179,7,7,6,0
180,7,7,6,0
181,7,7,6,0
182,7,7,6,0
183,7,7,6,0
184,7,7,6,0
185,7,7,6,0
186,7,7,6,0
187,7,7,6,0
188,7,7,6,0
189,7,7,6,0
190,7,7,6,0
191,7,7,6,0
192,7,7,6,0
193,7,7,6,0
194,7,7,6,0
195,7,7,6,0
196,7,7,6,0
197,7,7,6,0
198,7,7,6,0
199,7,7,6,0
200,7,7,6,0
201,7,7,6,0
202,7,7,6,0
203,7,7,6,0
204,7,7,6,0
205,7,7,6,0
206,7,7,6,0
207,7,7,6,0
208,7,7,6,0
209,7,7,6,0
210,7,7,6,0
211,7,7,6,0
212,7,7,6,0
213,7,7,6,0
214,7,7,6,0
215,7,7,6,0
216,7,7,6,0
217,7,7,6,0
218,7,7,6,0
219,7,7,6,0
220,7,7,6,0
221,7,7,6,0
222,7,7,6,0
223,7,7,6,0
224,7,7,6,0
225,7,7,6,0
226,7,7,6,0
227,7,7,6,0
228,7,7,6,0
229,7,7,6,0
230,7,7,6,0
231,7,7,6,0
232,7,7,6,0
233,7,7,6,0
234,7,7,6,0
235,7,7,6,0
236,7,7,6,0
237,7,7,6,0
238,7,7,6,0
239,7,7,6,0
240,7,7,6,0
241,7,7,6,0
242,7,7,6,0
243,7,7,6,0
244,7,7,6,0
245,7,7,6,0
246,7,7,6,0
247,7,7,6,0
248,7,7,6,0
249,7,7,6,0
250,7,7,6,0
251,7,7,6,0
252,7,7,6,0
253,7,7,6,0
254,7,7,6,0
255,7,7,6,0
256,7,7,6,0
257,7,7,6,0
258,7,7,6,0
259,7,7,6,0
260,7,7,6,0
261,7,7,6,0
262,7,7,6,0
263,7,7,6,0
264,7,7,6,0
265,7,7,6,0
266,7,7,6,0
267,7,7,6,0
268,7,7,6,0
269,7,7,6,0
270,7,7,6,0
271,7,7,6,0
272,7,7,6,0
273,7,7,6,0
274,7,7,6,0
275,7,7,6,0
276,7,7,6,0
277,7,7,6,0
278,7,7,6,0
279,7,7,6,0
280,7,7,6,0
281,7,7,6,0
282,7,7,6,0
283,7,7,6,0
284,7,7,6,0
285,7,7,6,0
286,7,7,6,0
287,7,7,6,0
288,7,7,6,0
289,7,7,6,0
290,7,7,6,0
291,7,7,6,0
292,7,7,6,0
293,7,7,6,0
294,7,7,6,0
295,7,7,6,0
296,7,7,6,0
297,7,7,6,0
298,7,7,6,0
299,7,7,6,0
300,7,7,6,0
301,7,7,6,0
302,7,7,6,0
303,7,7,6,0
304,7,7,6,0
305,7,7,6,0
306,7,7,6,0
307,7,7,6,0
308,7,7,6,0
309,7,7,6,0
310,7,7,6,0
311,7,7,6,0
312,7,7,6,0
313,7,7,6,0
314,7,7,6,0
315,7,7,6,0
316,7,7,6,0
317,7,7,6,0
318,7,7,6,0
319,7,7,6,0
320,7,7,6,0
321,7,7,6,0
322,7,7,6,0
323,7,7,6,0
324,7,7,6,0
325,7,7,6,0
326,7,7,6,0
327,7,7,6,0
328,7,7,6,0
329,7,7,6,0
330,7,7,6,0
331,7,7,6,0
332,7,7,6,0
333,7,7,6,0
334,7,7,6,0
335,7,7,6,0
336,7,7,6,0
337,7,7,6,0
338,7,7,6,0
339,7,7,6,0
340,7,7,6,0
341,7,7,6,0
342,7,7,6,0
343,7,7,6,0
344,7,7,6,0
345,7,7,6,0
346,7,7,6,0
347,7,7,6,0
348,7,7,6,0
349,7,7,6,0
350,7,7,6,0
351,7,7,6,0
352,7,7,6,0
353,7,7,6,0
354,7,7,6,0
355,7,7,6,0
356,7,7,6,0
357,7,7,6,0
358,7,7,6,0
359,7,7,6,0
360,7,7,6,0
361,7,7,6,0
362,7,7,6,0
363,7,7,6,0
364,7,7,6,0
365,7,7,6,0
366,7,7,6,0
367,7,7,6,0
368,7,7,6,0
369,7,7,6,0
370,7,7,6,0
371,7,7,6,0
372,7,7,6,0
373,7,7,6,0
374,7,7,6,0
375,7,7,6,0
376,7,7,6,0
377,7,7,6,0
378,7,7,6,0
379,7,7,6,0
380,7,7,6,0
381,7,7,6,0
382,7,7,6,0
383,7,7,6,0
384,7,7,6,0
385,7,7,6,0
386,7,7,6,0
387,7,7,6,0
388,7,7,6,0
389,7,7,6,0
390,7,7,6,0
391,7,7,6,0
392,7,7,6,0
393,7,7,6,0
394,7,7,6,0
395,7,7,6,0
396,7,7,6,0
397,7,7,6,0
398,7,7,6,0
399,7,7,6,0
400,7,7,6,0
401,7,7,6,0
402,7,7,6,0
403,7,7,6,0
404,7,7,6,0
405,7,7,6,0
406,7,7,6,0
407,7,7,6,0
408,7,7,6,0
409,7,7,6,0
410,7,7,6,0
411,7,7,6,0
412,7,7,6,0
413,7,7,6,0
414,7,7,6,0
415,7,7,6,0
416,7,7,6,0
417,7,7,6,0
418,7,7,6,0
419,7,7,6,0
420,7,7,6,0
421,7,7,6,0
422,7,7,6,0
423,7,7,6,0
424,7,7,6,0
425,7,7,6,0
426,7,7,6,0
427,7,7,6,0
428,7,7,6,0
429,7,7,6,0
430,7,7,6,0
431,7,7,6,0
432,7,7,6,0
433,7,7,6,0
434,7,7,6,0
435,7,7,6,0
436,7,7,6,0
437,7,7,6,0
438,7,7,6,0
439,7,7,6,0
440,7,7,6,0
441,7,7,6,0
442,7,7,6,0
443,7,7,6,0
444,7,7,6,0
445,7,7,6,0
446,7,7,6,0
447,7,7,6,0
448,7,7,6,0
449,7,7,6,0
450,7,7,6,0
451,7,7,6,0
452,7,7,6,0
453,7,7,6,0
454,7,7,6,0
455,7,7,6,0
456,7,7,6,0
457,7,7,6,0
458,7,7,6,0
459,7,7,6,0
460,7,7,6,0
461,7,7,6,0
462,7,7,6,0
463,7,7,6,0
464,7,7,6,0
465,7,7,6,0
466,7,7,6,0
467,7,7,6,0
468,7,7,6,0
469,7,7,6,0
470,7,7,6,0
471,7,7,6,0
472,7,7,6,0
473,7,7,6,0
474,7,7,6,0
475,7,7,6,0
476,7,7,6,0
477,7,7,6,0
478,7,7,6,0
479,7,7,6,0
480,7,7,6,0
481,7,7,6,0
482,7,7,6,0
483,7,7,6,0
484,7,7,6,0
485,7,7,6,0
486,7,7,6,0
487,7,7,6,0
488,7,7,6,0
489,7,7,6,0
490,7,7,6,0
491,7,7,6,0
492,7,7,6,0
493,7,7,6,0
494,7,7,6,0
495,7,7,6,0
496,7,7,6,0
497,7,7,6,0
498,7,7,6,0
499,7,7,6,0
500,7,7,6,0
501,7,7,6,0
502,7,7,6,0
503,7,7,6,0
504,7,7,6,0
505,7,7,6,0
506,7,7,6,0
507,7,7,6,0
508,7,7,6,0
509,7,7,6,0
510,7,7,6,0
511,7,7,6,0
512,7,7,6,0
513,7,7,6,0
514,7,7,6,0
515,7,7,6,0
516,7,7,6,0
517,7,7,6,0
518,7,7,6,0
519,7,7,6,0
520,7,7,6,0
521,7,7,6,0
522,7,7,6,0
523,7,7,6,0
524,7,7,6,0
525,7,7,6,0
526,7,7,6,0
527,7,7,6,0
528,7,7,6,0
529,7,7,6,0
530,7,7,6,0
531,7,7,6,0
532,7,7,6,0
533,7,7,6,0
534,7,7,6,0
535,7,7,6,0
536,7,7,6,0
537,7,7,6,0
538,7,7,6,0
539,7,7,6,0
540,7,7,6,0
541,7,7,6,0
542,7,7,6,0
543,7,7,6,0
544,7,7,6,0
545,7,7,6,0
546,7,7,6,0
547,7,7,6,0
548,7,7,6,0
549,7,7,6,0
550,7,7,6,0
551,7,7,6,0
552,7,7,6,0
553,7,7,6,0
554,7,7,6,0
555,7,7,6,0
556,7,7,6,0
557,7,7,6,0
558,7,7,6,0
559,7,7,6,0
560,7,7,6,0
561,7,7,6,0
562,7,7,6,0
563,7,7,6,0
564,7,7,6,0
565,7,7,6,0
566,7,7,6,0
567,7,7,6,0
568,7,7,6,0
569,7,7,6,0
570,7,7,6,0
571,7,7,6,0
572,7,7,6,0
573,7,7,6,0
574,7,7,6,0
575,7,7,6,0
576,7,7,6,0
577,7,7,6,0
578,7,7,6,0
579,7,7,6,0
580,7,7,6,0
581,7,7,6,0
582,7,7,6,0
583,7,7,6,0
584,7,7,6,0
585,7,7,6,0
586,7,7,6,0
587,7,7,6,0
588,7,7,6,0
589,7,7,6,0
590,7,7,6,0
591,7,7,6,0
592,7,7,6,0
593,7,7,6,0
594,7,7,6,0
595,7,7,6,0
596,7,7,6,0
597,7,7,6,0
598,7,7,6,0
599,7,7,6,0
600,7,7,6,0
601,7,7,6,0
602,7,7,6,0
603,7,7,6,0
604,7,7,6,0
605,7,7,6,0
606,7,7,6,0
607,7,7,6,0
608,7,7,6,0
609,7,7,6,0
610,7,7,6,0
611,7,7,6,0
612,7,7,6,0
613,7,7,6,0
614,7,7,6,0
615,7,7,6,0
616,7,7,6,0
617,7,7,6,0
618,7,7,6,0
619,7,7,6,0
620,7,7,6,0
621,7,7,6,0
622,7,7,6,0
623,7,7,6,0
624,7,7,6,0
625,7,7,6,0
626,7,7,6,0
627,7,7,6,0
628,7,7,6,0
629,7,7,6,0
630,7,7,6,0
631,7,7,6,0
632,7,7,6,0
633,7,7,6,0
634,7,7,6,0
635,7,7,6,0
636,7,7,6,0
637,7,7,6,0
638,7,7,6,0
639,7,7,6,0
640,7,7,6,0
641,7,7,6,0
642,7,7,6,0
643,7,7,6,0
644,7,7,6,0
645,7,7,6,0
646,7,7,6,0
647,7,7,6,0
648,7,7,6,0
649,7,7,6,0
650,7,7,6,0
651,7,7,6,0
652,7,7,6,0
653,7,7,6,0
654,7,7,6,0
655,7,7,6,0
656,7,7,6,0
657,7,7,6,0
658,7,7,6,0
659,7,7,6,0
660,7,7,6,0
661,7,7,6,0
662,7,7,6,0
663,7,7,6,0
664,7,7,6,0
665,7,7,6,0
666,7,7,6,0
667,7,7,6,0
668,7,7,6,0
669,7,7,6,0
670,7,7,6,0
671,7,7,6,0
672,7,7,6,0
673,7,7,6,0
674,7,7,6,0
675,7,7,6,0
676,7,7,6,0
677,7,7,6,0
678,7,7,6,0
679,7,7,6,0
680,7,7,6,0
681,7,7,6,0
682,7,7,6,0
683,7,7,6,0
684,7,7,6,0
685,7,7,6,0
686,7,7,6,0
687,7,7,6,0
688,7,7,6,0
689,7,7,6,0
690,7,7,6,0
691,7,7,6,0
692,7,7,6,0
693,7,7,6,0
694,7,7,6,0
695,7,7,6,0
696,7,7,6,0
697,7,7,6,0
698,7,7,6,0
699,7,7,6,0
700,7,7,6,0
701,7,7,6,0
702,7,7,6,0
703,7,7,6,0
704,7,7,6,0
705,7,7,6,0
706,7,7,6,0
707,7,7,6,0
708,7,7,6,0
709,7,7,6,0
710,7,7,6,0
711,7,7,6,0
712,7,7,6,0
713,7,7,6,0
714,7,7,6,0
715,7,7,6,0
716,7,7,6,0
717,7,7,6,0
718,7,7,6,0
719,7,7,6,0
720,7,7,6,0
721,7,7,6,0
722,7,7,6,0
723,7,7,6,0
724,7,7,6,0
725,7,7,6,0
726,7,7,6,0
727,7,7,6,0
728,7,7,6,0
729,7,7,6,0
730,7,7,6,0
731,7,7,6,0
732,7,7,6,0
733,7,7,6,0
734,7,7,6,0
735,7,7,6,0
736,7,7,6,0
737,7,7,6,0
738,7,7,6,0
739,7,7,6,0
740,7,7,6,0
741,7,7,6,0
742,7,7,6,0
743,7,7,6,0
744,7,7,6,0
745,7,7,6,0
746,7,7,6,0
747,7,7,6,0
748,7,7,6,0
749,7,7,6,0
750,7,7,6,0
751,7,7,6,0
752,7,7,6,0
753,7,7,6,0
754,7,7,6,0
755,7,7,6,0
756,7,7,6,0
757,7,7,6,0
758,7,7,6,0
759,7,7,6,0
760,7,7,6,0
761,7,7,6,0
762,7,7,6,0
763,7,7,6,0
764,7,7,6,0
765,7,7,6,0
766,7,7,6,0
767,7,7,6,0
768,7,7,6,0
769,7,7,6,0
770,7,7,6,0
771,7,7,6,0
772,7,7,6,0
773,7,7,6,0
774,7,7,6,0
775,7,7,6,0
776,7,7,6,0
777,7,7,6,0
778,7,7,6,0
779,7,7,6,0
780,7,7,6,0
781,7,7,6,0
782,7,7,6,0
783,7,7,6,0
784,7,7,6,0
785,7,7,6,0
786,7,7,6,0
787,7,7,6,0
788,7,7,6,0
789,7,7,6,0
790,7,7,6,0
791,7,7,6,0
792,7,7,6,0
793,7,7,6,0
794,7,7,6,0
795,7,7,6,0
796,7,7,6,0
797,7,7,6,0
798,7,7,6,0
799,7,7,6,0
800,7,7,6,0
801,7,7,6,0
802,7,7,6,0
803,7,7,6,0
804,7,7,6,0
805,7,7,6,0
806,7,7,6,0
807,7,7,6,0
808,7,7,6,0
809,7,7,6,0
810,7,7,6,0
811,7,7,6,0
812,7,7,6,0
813,7,7,6,0
814,7,7,6,0
815,7,7,6,0
816,7,7,6,0
817,7,7,6,0
818,7,7,6,0
819,7,7,6,0
820,7,7,6,0
821,7,7,6,0
822,7,7,6,0
823,7,7,6,0
824,7,7,6,0
825,7,7,6,0
826,7,7,6,0
827,7,7,6,0
828,7,7,6,0
829,7,7,6,0
830,7,7,6,0
831,7,7,6,0
832,7,7,6,0
833,7,7,6,0
834,7,7,6,0
835,7,7,6,0
836,7,7,6,0
837,7,7,6,0
838,7,7,6,0
839,7,7,6,0
840,7,7,6,0
841,7,7,6,0
842,7,7,6,0
843,7,7,6,0
844,7,7,6,0
845,7,7,6,0
846,7,7,6,0
847,7,7,6,0
848,7,7,6,0
849,7,7,6,0
850,7,7,6,0
851,7,7,6,0
852,7,7,6,0
853,7,7,6,0
854,7,7,6,0
855,7,7,6,0
856,7,7,6,0
857,7,7,6,0
858,7,7,6,0
859,7,7,6,0
860,7,7,6,0
861,7,7,6,0
862,7,7,6,0
863,7,7,6,0
864,7,7,6,0
865,7,7,6,0
866,7,7,6,0
867,7,7,6,0
868,7,7,6,0
869,7,7,6,0
870,7,7,6,0
871,7,7,6,0
872,7,7,6,0
873,7,7,6,0
874,7,7,6,0
875,7,7,6,0
876,7,7,6,0
877,7,7,6,0
878,7,7,6,0
879,7,7,6,0
880,7,7,6,0
881,7,7,6,0
882,7,7,6,0
883,7,7,6,0
884,7,7,6,0
885,7,7,6,0
886,7,7,6,0
887,7,7,6,0
888,7,7,6,0
889,7,7,6,0
890,7,7,6,0
891,7,7,6,0
892,7,7,6,0
893,7,7,6,0
894,7,7,6,0
895,7,7,6,0
896,7,7,6,0
897,7,7,6,0
898,7,7,6,0
899,7,7,6,0
900,7,7,6,0
901,7,7,6,0
902,7,7,6,0
903,7,7,6,0
904,7,7,6,0
905,7,7,6,0
906,7,7,6,0
907,7,7,6,0
908,7,7,6,0
909,7,7,6,0
910,7,7,6,0
911,7,7,6,0
912,7,7,6,0
913,7,7,6,0
914,7,7,6,0
915,7,7,6,0
916,7,7,6,0
917,7,7,6,0
918,7,7,6,0
919,7,7,6,0
920,7,7,6,0
921,7,7,6,0
922,7,7,6,0
923,7,7,6,0
924,7,7,6,0
925,7,7,6,0
926,7,7,6,0
927,7,7,6,0
928,7,7,6,0
929,7,7,6,0
930,7,7,6,0
931,7,7,6,0
932,7,7,6,0
933,7,7,6,0
934,7,7,6,0
935,7,7,6,0
936,7,7,6,0
937,7,7,6,0
938,7,7,6,0
939,7,7,6,0
940,7,7,6,0
941,7,7,6,0
942,7,7,6,0
943,7,7,6,0
944,7,7,6,0
945,7,7,6,0
946,7,7,6,0
947,7,7,6,0
948,7,7,6,0
949,7,7,6,0
950,7,7,6,0
951,7,7,6,0
952,7,7,6,0
953,7,7,6,0
954,7,7,6,0
955,7,7,6,0
956,7,7,6,0
957,7,7,6,0
958,7,7,6,0
959,7,7,6,0
960,7,7,6,0
961,7,7,6,0
962,7,7,6,0
963,7,7,6,0
964,7,7,6,0
965,7,7,6,0
966,7,7,6,0
967,7,7,6,0
968,7,7,6,0
969,7,7,6,0
970,7,7,6,0
971,7,7,6,0
972,7,7,6,0
973,7,7,6,0
974,7,7,6,0
975,7,7,6,0
976,7,7,6,0
977,7,7,6,0
978,7,7,6,0
979,7,7,6,0
980,7,7,6,0
981,7,7,6,0
982,7,7,6,0
983,7,7,6,0
984,7,7,6,0
985,7,7,6,0
986,7,7,6,0
987,7,7,6,0
988,7,7,6,0
989,7,7,6,0
990,7,7,6,0
991,7,7,6,0
992,7,7,6,0
993,7,7,6,0
994,7,7,6,0
995,7,7,6,0
996,7,7,6,0
997,7,7,6,0
998,7,7,6,0
999,7,7,6,0
1000,7,7,6,0
1001,7,7,6,0
1002,7,7,6,0
1003,7,7,6,0
1004,7,7,6,0
1005,7,7,6,0
1006,7,7,6,0
1007,7,7,6,0
1008,7,7,6,0
1009,7,7,6,0
1010,7,7,6,0
1011,7,7,6,0
1012,7,7,6,0
1013,7,7,6,0
1014,7,7,6,0
1015,7,7,6,0
1016,7,7,6,0
1017,7,7,6,0
1018,7,7,6,0
1019,7,7,6,0
1020,7,7,6,0
1021,7,7,6,0
1022,7,7,6,0
1023,7,7,6,0
1024,7,7,6,0
1025,7,7,6,0
1026,7,7,6,0
1027,7,7,6,0
1028,7,7,6,0
1029,7,7,6,0
1030,7,7,6,0
1031,7,7,6,0
1032,7,7,6,0
1033,7,7,6,0
1034,7,7,6,0
1035,7,7,6,0
1036,7,7,6,0
1037,7,7,6,0
1038,7,7,6,0
1039,7,7,6,0
1040,7,7,6,0
1041,7,7,6,0
1042,7,7,6,0
1043,7,7,6,0
1044,7,7,6,0
1045,7,7,6,0
1046,7,7,6,0
1047,7,7,6,0
1048,7,7,6,0
1049,7,7,6,0
1050,7,7,6,0
1051,7,7,6,0
1052,7,7,6,0
1053,7,7,6,0
1054,7,7,6,0
1055,7,7,6,0
1056,7,7,6,0
1057,7,7,6,0
1058,7,7,6,0
1059,7,7,6,0
