Interval,Regulation Up,Regulation Down,Spinning Reserve,Nonspinning reserve
1,5.27,2.12,2.92,0.08
2,5.27,2.12,2.92,0.08
3,5.27,2.12,2.92,0.08
4,5.27,2.12,2.92,0.08
5,5.27,2.12,2.92,0.08
6,5.27,2.12,2.92,0.08
7,5.27,2.12,2.92,0.08
8,5.27,2.12,2.92,0.08
9,5.27,2.12,2.92,0.08
10,5.27,2.12,2.92,0.08
11,5.27,2.12,2.92,0.08
12,5.27,2.12,2.92,0.08
13,1,2.31,1,0.1
14,1,2.31,1,0.1
15,1,2.31,1,0.1
16,1,2.31,1,0.1
17,1,2.31,1,0.1
18,1,2.31,1,0.1
19,1,2.31,1,0.1
20,1,2.31,1,0.1
21,1,2.31,1,0.1
22,1,2.31,1,0.1
23,1,2.31,1,0.1
24,1,2.31,1,0.1
25,5.42,2.61,1,0.1
26,5.42,2.61,1,0.1
27,5.42,2.61,1,0.1
28,5.42,2.61,1,0.1
29,5.42,2.61,1,0.1
30,5.42,2.61,1,0.1
31,5.42,2.61,1,0.1
32,5.42,2.61,1,0.1
33,5.42,2.61,1,0.1
34,5.42,2.61,1,0.1
35,5.42,2.61,1,0.1
36,5.42,2.61,1,0.1
37,4.26,2.61,1,0.1
38,4.26,2.61,1,0.1
39,4.26,2.61,1,0.1
40,4.26,2.61,1,0.1
41,4.26,2.61,1,0.1
42,4.26,2.61,1,0.1
43,4.26,2.61,1,0.1
44,4.26,2.61,1,0.1
45,4.26,2.61,1,0.1
46,4.26,2.61,1,0.1
47,4.26,2.61,1,0.1
48,4.26,2.61,1,0.1
49,2.83,2.61,1,0.1
50,2.83,2.61,1,0.1
51,2.83,2.61,1,0.1
52,2.83,2.61,1,0.1
53,2.83,2.61,1,0.1
54,2.83,2.61,1,0.1
55,2.83,2.61,1,0.1
56,2.83,2.61,1,0.1
57,2.83,2.61,1,0.1
58,2.83,2.61,1,0.1
59,2.83,2.61,1,0.1
60,2.83,2.61,1,0.1
61,3.8,3.18,1,0.1
62,3.8,3.18,1,0.1
63,3.8,3.18,1,0.1
64,3.8,3.18,1,0.1
65,3.8,3.18,1,0.1
66,3.8,3.18,1,0.1
67,3.8,3.18,1,0.1
68,3.8,3.18,1,0.1
69,3.8,3.18,1,0.1
70,3.8,3.18,1,0.1
71,3.8,3.18,1,0.1
72,3.8,3.18,1,0.1
73,5.02,3.91,1,0.08
74,5.02,3.91,1,0.08
75,5.02,3.91,1,0.08
76,5.02,3.91,1,0.08
77,5.02,3.91,1,0.08
78,5.02,3.91,1,0.08
79,5.02,3.91,1,0.08
80,5.02,3.91,1,0.08
81,5.02,3.91,1,0.08
82,5.02,3.91,1,0.08
83,5.02,3.91,1,0.08
84,5.02,3.91,1,0.08
85,9.69,3.54,1,0.08
86,9.69,3.54,1,0.08
87,9.69,3.54,1,0.08
88,9.69,3.54,1,0.08
89,9.69,3.54,1,0.08
90,9.69,3.54,1,0.08
91,9.69,3.54,1,0.08
92,9.69,3.54,1,0.08
