Interval,RT_CISC
1,66.77428
2,67.77619
3,67.18471
4,65.86621
5,65.00171
6,68.92044
7,80.73284
8,95.62481
9,63.89281
10,63.89281
11,63.70051
12,62.2395
13,62.2395
14,66.55954
15,68.19305
16,82.28806
17,2411.76678
18,82.19693
19,72.27536
20,72.28417
21,82.00952
22,86.26537
23,71.36472
24,63.70051
25,66.27008
26,67.62705
27,66.89542
28,67.07583
29,66.5936
30,67.64192
31,75.83808
32,85.0621
33,63.53113
34,61.91307
35,55.79166
36,55.79166
37,55.79166
38,57.97095
39,63.53113
40,69.72559
41,98.236
42,98.83955
43,76.26063
44,69.38922
45,2659.0057
46,70.21492
47,68.90801
48,66.20294
49,66.75009
50,68.61282
51,65.89496
52,69.53947
53,67.41638
54,69.11987
55,93.67213
56,78.69741
57,62.45489
58,62.2395
59,61.91307
60,61.91307
61,61.91307
62,62.2395
63,63.89281
64,71.08209
65,2509.07604
66,4126.38727
67,4802.56817
68,2489.20663
69,89.10363
70,77.99366
71,69.57175
72,68.41184
73,66.51732
74,67.56012
75,68.71159
76,68.14635
77,76.41001
78,68.99474
79,68.4901
80,68.58326
81,57.97095
82,62.09506
83,57.97095
84,43.34826
85,46.696
86,46.696
87,53.24861
88,67.64192
89,83.07546
90,91.0668
91,2173.13421
92,75.60703
93,61.91307
94,69.78848
95,62.09506
96,63.70051
97,67.92798
98,70.0533
99,72.05487
100,70.54963
101,67.31719
102,64.50193
103,63.24457
104,57.97095
105,47.4148
106,28.47163
107,27.2127
108,26.45266
109,28.07905
110,31.82448
111,47.0543
112,80.55288
113,79.80741
114,84.7013
115,3346.98911
116,87.79426
117,72.88083
118,70.58644
119,66.0515
120,63.89281
121,71.4353
122,68.56029
123,74.04601
124,86.01677
125,71.42052
126,82.56045
127,115.73472
128,78.49071
129,63.53113
130,59.43523
131,55.79166
132,54.81801
133,55.79166
134,57.97095
135,59.09345
136,74.63759
137,72.16488
138,80.67469
139,85.02624
140,81.86067
141,83.105
142,83.86092
143,66.53291
144,60.26064
145,62.09506
