Run on a MSNT machine on 06/30/18 23:43:03.
Optimal solution found within time limit:,Yes

Renewable Capacity (MW),       200.00
Renewable Penetration for Input (%),         0.38
hydrogen use,         1.00

actual operating profit, -63617011.02
total electricity input (MWh),    788406.31
total electricity output (MWh),         0.00
output to input ratio,         0.00
input capacity factor,         0.90
output capacity factor,         0.00
average regup (MW),         0.00
average regdn (MW),         0.00
average spinres (MW),         0.00
average nonspinres (MW),         0.00
number of input power system starts,      8760.00
number of output power system starts,      8760.00
arbitrage revenue ($),-41946930.33
regup revenue ($),         0.00
regdn revenue ($),         0.00
spinres revenue ($),         0.00
nonspinres revenue ($),         0.00
hydrogen revenue ($),  43558359.48
REC revenue ($),   1495208.34
LCFS revenue ($),  27367395.04
startup costs ($),         0.00

Interval, In Pwr (MW), Out Pwr (MW), Storage Lvl (MW-h), In Reg Up (MW), Out Reg Up (MW), In Reg Dn (MW), Out Reg Dn (MW), In Spin (MW), Out Spin (MW), In Nonspin (MW), Out Nonspin (MW), H2 Out (kg), Non-Ren In (MW), Ren In (MW), Ren Sold (MW), Curt (MW)
       31.00,       86.13,        0.00,      402.98,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       32.00,       86.13,        0.00,      400.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       33.00,       95.43,        0.00,      403.94,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        9.30,        0.00,        0.00
       34.00,      100.00,        0.00,      410.08,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       78.76,       21.24,        0.00,        0.00
       35.00,      100.00,        0.00,      416.21,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       49.66,       50.34,        0.00,        0.00
       36.00,      100.00,        0.00,      422.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,        0.00,      177.15,       77.15,        0.00
       37.00,      100.00,        0.00,      428.49,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,        7.23,       92.77,        0.00,        0.00
       38.00,      100.00,        0.00,      434.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,        0.00,      111.28,       11.28,        0.00
       39.00,      100.00,        0.00,      440.76,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       53.31,       46.69,        0.00,        0.00
       40.00,      100.00,        0.00,      446.89,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       72.60,       27.40,        0.00,        0.00
       41.00,       89.94,        0.00,      446.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        3.81,        0.00,        0.00
       42.00,       86.13,        0.00,      444.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       43.00,       86.13,        0.00,      442.11,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       44.00,       86.13,        0.00,      439.73,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       45.00,       86.13,        0.00,      437.36,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       46.00,       86.13,        0.00,      434.98,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       47.00,       86.13,        0.00,      432.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       48.00,       86.13,        0.00,      430.23,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       49.00,       86.13,        0.00,      427.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       50.00,       86.13,        0.00,      425.49,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       51.00,       86.13,        0.00,      423.11,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       52.00,       86.13,        0.00,      420.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       53.00,       86.13,        0.00,      418.36,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       54.00,       86.13,        0.00,      415.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       55.00,       86.13,        0.00,      413.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
