Run on a MSNT machine on 11/27/18 15:46:09.
Optimal solution found within time limit:,Yes

Renewable Capacity (MW),     2.000000
Renewable Penetration for Input (%),     0.000000
hydrogen use,     1.000000

actual operating profit, -5.247869E+5
total electricity input (MWh),  7198.260899
total electricity output (MWh),     0.000000
output to input ratio,     0.000000
input capacity factor,     0.821719
output capacity factor,     0.000000
average regup (MW),     0.000000
average regdn (MW),     0.000000
average spinres (MW),     0.000000
average nonspinres (MW),     0.000000
number of input power system starts,  8760.000000
number of output power system starts,  8760.000000
arbitrage revenue ($),-6.424007E+5
regup revenue ($),     0.000000
regdn revenue ($),     0.000000
spinres revenue ($),     0.000000
nonspinres revenue ($),     0.000000
hydrogen revenue ($), 7.9538794E+5
REC revenue ($),     0.000000
LCFS revenue ($), 1.3948711E+5
startup costs ($),     0.000000

Interval,Input Power (MW),Output Power (MW),Storage Level (MW-h),Input Reg Up (MW),Output Reg Up (MW),Input Reg Dn (MW),Output Reg Dn (MW),Input Spin (MW),Output Spin (MW),Input Nonspin (MW),Output Nonspin (MW),H2 Sold (kg),Non-Ren Import (MW),Load Profile (MW),Renewable Input (MW),Renewables Sold (MW),Curtailment (MW)
   11.000000,    0.830480,    0.000000,    4.059140,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   12.000000,    0.830480,    0.000000,    4.064516,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   13.000000,    0.830480,    0.000000,    4.069892,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   14.000000,    0.830480,    0.000000,    4.075269,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   15.000000,    0.830480,    0.000000,    4.080645,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   16.000000,    0.830480,    0.000000,    4.086022,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   17.000000,    0.830480,    0.000000,    4.091398,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   18.000000,    0.830480,    0.000000,    4.096774,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   19.000000,    0.830480,    0.000000,    4.102151,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   20.000000,    0.830480,    0.000000,    4.107527,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   21.000000,    0.830480,    0.000000,    4.112903,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   22.000000,    0.830480,    0.000000,    4.118280,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   23.000000,    0.830480,    0.000000,    4.123656,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   24.000000,    0.830480,    0.000000,    4.129032,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   25.000000,    0.830480,    0.000000,    4.134409,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   26.000000,    0.830480,    0.000000,    4.139785,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   27.000000,    0.830480,    0.000000,    4.145161,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   28.000000,    0.830480,    0.000000,    4.150538,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   29.000000,    0.830480,    0.000000,    4.155914,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   30.000000,    0.830480,    0.000000,    4.161290,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   31.000000,    0.830480,    0.000000,    4.166667,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   32.000000,    0.830480,    0.000000,    4.172043,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   33.000000,    0.830480,    0.000000,    4.177419,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   34.000000,    0.830480,    0.000000,    4.182796,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   35.000000,    0.830480,    0.000000,    4.188172,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   36.000000,    0.830480,    0.000000,    4.193548,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   37.000000,    0.830480,    0.000000,    4.198925,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   38.000000,    0.830480,    0.000000,    4.204301,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   39.000000,    0.830480,    0.000000,    4.209677,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   40.000000,    0.830480,    0.000000,    4.215054,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   41.000000,    0.830480,    0.000000,    4.220430,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   42.000000,    0.830480,    0.000000,    4.225806,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   43.000000,    0.830480,    0.000000,    4.231183,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   44.000000,    0.830480,    0.000000,    4.236559,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   45.000000,    0.830480,    0.000000,    4.241935,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   46.000000,    0.830480,    0.000000,    4.247312,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   47.000000,    0.830480,    0.000000,    4.252688,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   48.000000,    0.830480,    0.000000,    4.258065,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   49.000000,    0.830480,    0.000000,    4.263441,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   50.000000,    0.830480,    0.000000,    4.268817,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   51.000000,    0.830480,    0.000000,    4.274194,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   52.000000,    0.830480,    0.000000,    4.279570,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   53.000000,    0.830480,    0.000000,    4.284946,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   54.000000,    0.830480,    0.000000,    4.290323,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   55.000000,    0.830480,    0.000000,    4.295699,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   56.000000,    0.830480,    0.000000,    4.301075,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   57.000000,    0.830480,    0.000000,    4.306452,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   58.000000,    0.830480,    0.000000,    4.311828,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   59.000000,    0.830480,    0.000000,    4.317204,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   60.000000,    0.830480,    0.000000,    4.322581,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   61.000000,    0.830480,    0.000000,    4.327957,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   62.000000,    0.830480,    0.000000,    4.333333,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   63.000000,    0.830480,    0.000000,    4.338710,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   64.000000,    0.830480,    0.000000,    4.344086,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   65.000000,    0.830480,    0.000000,    4.349462,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   66.000000,    0.830480,    0.000000,    4.354839,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   67.000000,    0.830480,    0.000000,    4.360215,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   68.000000,    0.830480,    0.000000,    4.365591,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   69.000000,    0.830480,    0.000000,    4.370968,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   70.000000,    0.830480,    0.000000,    4.376344,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   71.000000,    0.830480,    0.000000,    4.381720,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   72.000000,    0.830480,    0.000000,    4.387097,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   73.000000,    0.830480,    0.000000,    4.392473,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   74.000000,    0.830480,    0.000000,    4.397849,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   75.000000,    0.830480,    0.000000,    4.403226,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   76.000000,    0.830480,    0.000000,    4.408602,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   77.000000,    0.830480,    0.000000,    4.413978,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   78.000000,    0.830480,    0.000000,    4.419355,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   79.000000,    0.830480,    0.000000,    4.424731,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   80.000000,    0.830480,    0.000000,    4.430108,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   81.000000,    0.830480,    0.000000,    4.435484,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   82.000000,    0.830480,    0.000000,    4.440860,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   83.000000,    0.830480,    0.000000,    4.446237,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   84.000000,    0.830480,    0.000000,    4.451613,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   85.000000,    0.830480,    0.000000,    4.456989,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   86.000000,    0.830480,    0.000000,    4.462366,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   87.000000,    0.830480,    0.000000,    4.467742,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   88.000000,    0.830480,    0.000000,    4.473118,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   89.000000,    0.830480,    0.000000,    4.478495,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   90.000000,    0.830480,    0.000000,    4.483871,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   91.000000,    0.830480,    0.000000,    4.489247,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   92.000000,    0.830480,    0.000000,    4.494624,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   93.000000,    0.830480,    0.000000,    4.500000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   94.000000,    0.830480,    0.000000,    4.505376,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   95.000000,    0.830480,    0.000000,    4.510753,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   96.000000,    0.830480,    0.000000,    4.516129,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   97.000000,    0.830480,    0.000000,    4.521505,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   98.000000,    0.830480,    0.000000,    4.526882,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
   99.000000,    0.830480,    0.000000,    4.532258,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  100.000000,    0.830480,    0.000000,    4.537634,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  101.000000,    0.830480,    0.000000,    4.543011,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  102.000000,    0.830480,    0.000000,    4.548387,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  103.000000,    0.830480,    0.000000,    4.553763,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  104.000000,    0.830480,    0.000000,    4.559140,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  105.000000,    0.830480,    0.000000,    4.564516,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  106.000000,    0.830480,    0.000000,    4.569892,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  107.000000,    0.830480,    0.000000,    4.575269,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  108.000000,    0.830480,    0.000000,    4.580645,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  109.000000,    0.830480,    0.000000,    4.586022,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  110.000000,    0.830480,    0.000000,    4.591398,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  111.000000,    0.830480,    0.000000,    4.596774,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  112.000000,    0.830480,    0.000000,    4.602151,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  113.000000,    0.830480,    0.000000,    4.607527,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  114.000000,    0.830480,    0.000000,    4.612903,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  115.000000,    0.830480,    0.000000,    4.618280,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  116.000000,    0.830480,    0.000000,    4.623656,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  117.000000,    0.830480,    0.000000,    4.629032,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
  118.000000,    0.830480,    0.000000,    4.634409,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.830480,    0.000000,    0.000000,    0.000000,    0.000000
