Run on a MSNT machine on 06/30/18 23:42:09.
Optimal solution found within time limit:,Yes

Renewable Capacity (MW),         0.00
Renewable Penetration for Input (%),         0.00
hydrogen use,         1.00

actual operating profit, -77330734.78
total electricity input (MWh),    788406.31
total electricity output (MWh),         0.00
output to input ratio,         0.00
input capacity factor,         0.90
output capacity factor,         0.00
average regup (MW),         0.00
average regdn (MW),         0.00
average spinres (MW),         0.00
average nonspinres (MW),         0.00
number of input power system starts,      8760.00
number of output power system starts,      8760.00
arbitrage revenue ($),-72252870.04
regup revenue ($),         0.00
regdn revenue ($),         0.00
spinres revenue ($),         0.00
nonspinres revenue ($),         0.00
hydrogen revenue ($),  43558359.48
REC revenue ($),         0.00
LCFS revenue ($),  13099733.35
startup costs ($),         0.00

Interval, In Pwr (MW), Out Pwr (MW), Storage Lvl (MW-h), In Reg Up (MW), Out Reg Up (MW), In Reg Dn (MW), Out Reg Dn (MW), In Spin (MW), Out Spin (MW), In Nonspin (MW), Out Nonspin (MW), H2 Out (kg), Non-Ren In (MW), Ren In (MW), Ren Sold (MW), Curt (MW)
        1.00,       90.88,        0.00,      400.54,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
        2.00,       90.88,        0.00,      401.08,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
        3.00,       90.88,        0.00,      401.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
        4.00,       90.88,        0.00,      402.15,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
        5.00,       90.88,        0.00,      402.69,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
        6.00,       90.88,        0.00,      403.23,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
        7.00,       90.88,        0.00,      403.76,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
        8.00,       90.88,        0.00,      404.30,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
        9.00,       90.88,        0.00,      404.84,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       10.00,       90.88,        0.00,      405.38,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       11.00,       90.88,        0.00,      405.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       12.00,       90.88,        0.00,      406.45,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       13.00,       90.88,        0.00,      406.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       14.00,       90.88,        0.00,      407.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       15.00,       90.88,        0.00,      408.06,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       16.00,       90.88,        0.00,      408.60,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       17.00,       90.88,        0.00,      409.14,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       18.00,       90.88,        0.00,      409.68,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       19.00,       90.88,        0.00,      410.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       20.00,       90.88,        0.00,      410.75,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       21.00,       90.88,        0.00,      411.29,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       22.00,       90.88,        0.00,      411.83,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       23.00,       90.88,        0.00,      412.37,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       24.00,       90.88,        0.00,      412.90,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       25.00,       90.88,        0.00,      413.44,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       26.00,       90.88,        0.00,      413.98,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       27.00,       90.88,        0.00,      414.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       28.00,       90.88,        0.00,      415.05,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       29.00,       90.88,        0.00,      415.59,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       30.00,       90.88,        0.00,      416.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       31.00,       90.88,        0.00,      416.67,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       32.00,       90.88,        0.00,      417.20,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       33.00,       90.88,        0.00,      417.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       34.00,       90.88,        0.00,      418.28,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       35.00,       90.88,        0.00,      418.82,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       36.00,       90.88,        0.00,      419.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       37.00,       90.88,        0.00,      419.89,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       38.00,       90.88,        0.00,      420.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       39.00,       90.88,        0.00,      420.97,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       40.00,       90.88,        0.00,      421.51,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       41.00,       90.88,        0.00,      422.04,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       42.00,       90.88,        0.00,      422.58,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       43.00,       90.88,        0.00,      423.12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       44.00,       90.88,        0.00,      423.66,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       45.00,       90.88,        0.00,      424.19,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       46.00,       90.88,        0.00,      424.73,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       47.00,       90.88,        0.00,      425.27,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       48.00,       90.88,        0.00,      425.81,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       49.00,       90.88,        0.00,      426.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       50.00,       90.88,        0.00,      426.88,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       51.00,       90.88,        0.00,      427.42,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       52.00,       90.88,        0.00,      427.96,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       53.00,       90.88,        0.00,      428.49,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       54.00,       90.88,        0.00,      429.03,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
       55.00,       90.88,        0.00,      429.57,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       90.88,        0.00,        0.00,        0.00
