Rate structure,utility,sector,start date,name,Count of actual operating profit ($),Average of actual operating profit ($)
539f6adbec4f024411ec954f,Southern California Edison Co,Commercial,1/1/2014,General Service Time-of-use Electric Vehicle Charging - Demand Metered:TOU-EV-4 (2kV - 50 kV),2,368412803.525
5877c7ae5457a3a91bdda4d8,Southern California Edison Co,Commercial,12/31/2016,General Service Time-of-use Electric Vehicle Charging - Demand Metered:TOU-EV-4 (2kv-50kv),2,-49094917.46
