State,actual op max,Percentile_test_Q1,Percentile_test_Q2,actual op median,Average of actual operating profit ($),Percentile_test_Q3,actual op min
Alabama,742031394.87,-57485382.93,208334358.87,208334358.87,133334210,279981954.87,-450125400
Alaska,353807466.87,-845497925,-291937650,-291937650,-657990393,-148940100,-4382573000
Arizona,664403628.65,-117931375,132543021.63,132543021.63,34720797,233102550.87,-1519976000
Arkansas,443673591.37,110059706.125,272726054.67,272726054.67,200845167,326752224.78999996,-513609900
California,742031290.47,-922174300,-252151200,-252151200,-459053789,-89268233.92,-1844311000
Colorado,314015858.95,-100302174.6725,76104785.46000001,76104785.46000001,39247582,243908712.75,-620631200
Connecticut,663191364.87,-307809625,-211916600,-211916600,-152002879,-143179750,-630519200
Delaware,301172571.9,-225086025,129298306.74000001,129298306.74000001,17212792,201870497.9775,-319503900
District of Columbia,-95123315.66,-269463800,-171726750,-171726750,-199387782,-115976577.1725,-361685400
Florida,326499637.27,-49825205.13,90064817.85,90064817.85,52520532,202476576.75,-637670200
Georgia,489403234.65,-263179100,12288030.515,12288030.515,-8719275,181810134.7425,-492517000
Hawaii,742031394.87,-2472148500,-1984967000,-1984967000,-1904749841,-1558284250,-3188532000
Idaho,493684674.87,281724.31,214447624.68,214447624.68,157735000,253853946.445,-211324600
Illinois,630435014.51,-45423488.59,123165169.03,123165169.03,-21895810,153774478.83,-4611209000
Indiana,392601924.43,-179495000,31866392.61,31866392.61,-674538,168874375.78750002,-561049000
Iowa,465302952.87,-168571125,88737814.185,88737814.185,43493199,279291879.255,-814587400
Kansas,632174507.4,-286191800,-117926950,-117926950,-129812371,-37052682.2025,-513040400
Kentucky,383760234.87,22529721.9525,169114636.57,169114636.57,131386231,275061587.45500004,-442280700
Louisiana,427720025.73,118505274.87,231012900.15,231012900.15,201466757,367345974.87,-202630500
Maine,490422060.08,-42730575.09,30893938.47,30893938.47,98912732,344854515.29,-292145500
Maryland,414017153.5,-463695525,-146725350,-146725350,-187629022,42631835.4975,-749674300
Massachusetts,-506024800,-933041100,-852993250,-852993250,-764038150,-506066950,-933122700
Michigan,742031274.99,-113225700,44848044.21,44848044.21,67721464,185378938.905,-406353200
Minnesota,557919577.73,-42903703.795,121088624.61,121088624.61,40850721,174923777.55,-3840150000
Mississippi,594211352.97,-128362700,33180155.58,33180155.58,51074688,167834988.5325,-339579100
Missouri,510072033.19,-14833544.872499999,96498734.61500001,96498734.61500001,-18033975,183562356.6975,-4207432000
Montana,435236552.24,84937609.9125,232756716.745,232756716.745,216398430,361442008.0425,-121977400
Nebraska,742031394.87,-14650005.012500001,196900530.87,196900530.87,100340407,303282648.96750003,-998757300
Nevada,449019398.64,241081912.8075,286897356.87,286897356.87,283535892,328982631.255,147734365
New Hampshire,-115138100,-502853125,-281384250,-281384250,-376831838,-203307625,-853488400
New Jersey,481756840.57,-177642325,-116596100,-116596100,-31432044,243211940.34,-601220900
New Mexico,274641941.84,43967898.87,67036590.87,67036590.87,49250028,188520479.33,-458710900
New York,543599362.85,-340426500,-63873888.385000005,-63873888.385000005,25116563,543552792.63,-649892800
North Carolina,364437594.67,-66774936.44,99260390.64500001,99260390.64500001,68721311,241113780.69,-497334900
North Dakota,742031240.67,32470483.515,82951571.815,82951571.815,35998416,189552149.59750003,-1685312000
Ohio,214618043.27,-113362650,-8425311.76,-8425311.76,-35048829,81617028.5625,-425416800
Oklahoma,660412734.58,-12008005.5075,155697826.745,155697826.745,169264736,354572421.75,-243785100
Oregon,689347183.15,-96034004.91,154221738.87,154221738.87,-16077649,211183278.87,-4905289000
Pennsylvania,709750835.54,14728439.17750001,118616160.27000001,118616160.27000001,127621737,195562311.6,-297869200
Rhode Island,-224131300,-464300350,-428261900,-428261900,-408696608,-384671450,-523383200
South Carolina,293445918.88,-143877325,134824425.04500002,134824425.04500002,42421261,186103872.0675,-287230400
South Dakota,742031287.59,-51478474.9,119019882.87,119019882.87,125398770,311611626.87,-422357700
Tennessee,334224006.48,-185994800,32410923.93,32410923.93,-4314421,153443174.315,-382393500
Texas,529933729.71,99857176.47,244965690.81,244965690.81,218564196,323338722.87,-295800900
Utah,364042438.45,-5828267.129999999,192976820.67000002,192976820.67000002,122340289,259912295.32500002,-528243000
Vermont,-53204931.4,-554186300,-444797000,-444797000,-360825844,-77511698.1,-590444800
Virginia,495683272.76,-70908921.05,21423059.65,21423059.65,59674588,219848861.6475,-352386100
Washington,543219815,205433047.83,262722236.09,262722236.09,255647206,338009933.8,-242122100
West Virginia,812421.07,-7288255.7775,-3236397.225,-3236397.225,-3238924,807881.6699999999,-7295322
Wisconsin,458825336.27,-14800394.67,105203094.87,105203094.87,80019173,179194725.64499998,-461703300
Wyoming,392359471.2,105303286.005,208225261.445,208225261.445,146056082,273513355.0475,-353530400
