Rate structure,utility,sector,start date,name,Count of actual operating profit ($),Average of actual operating profit ($)
56bbdbc75457a34d2a8b4569,Southern California Edison Co,Commercial,12/31/2015,Time-Of-Use - General Service - Large: TOU-8 CPP (under 2kV),2,-114774466.96000001
56bbdd3c5457a391068b4568,Southern California Edison Co,Commercial,12/31/2015,Time-Of-Use - General Service - Large: TOU-8 CPP (2kV-50kV),2,-83966129.175
