Interval,Regulation Up,Regulation Down,Spinning Reserve,Nonspinning reserve
1,4.47496,1.44,0.25,0.09
2,4.47496,1.44,0.25,0.09
3,4.47496,1.44,0.25,0.09
4,4.47496,1.44,0.25,0.09
5,4.31127,1.44,0.25,0.09
6,4.31127,1.44,0.25,0.09
7,4.31127,1.44,0.25,0.09
8,4.31127,1.44,0.25,0.09
9,4.20417,3.14,0.25,0.09
10,4.20417,3.14,0.25,0.09
11,4.20417,3.14,0.25,0.09
12,4.20417,3.14,0.25,0.09
13,2.93194,1.44,0.25,0.09
14,2.93194,1.44,0.25,0.09
15,2.93194,1.44,0.25,0.09
16,2.93194,1.44,0.25,0.09
17,5.24916,2.49362,0.25,0.09
18,5.24916,2.49362,0.25,0.09
19,5.24916,2.49362,0.25,0.09
20,5.24916,2.49362,0.25,0.09
21,5.71792,2.11,0.25,0.09
22,5.71792,2.11,0.25,0.09
23,5.71792,2.11,0.25,0.09
24,5.71792,2.11,0.25,0.09
25,5.99,3.31748,0.25,0.09
26,5.99,3.31748,0.25,0.09
27,5.99,3.31748,0.25,0.09
28,5.99,3.31748,0.25,0.09
29,2.07,2.08174,0.25,0.09
30,2.07,2.08174,0.25,0.09
31,2.07,2.08174,0.25,0.09
32,2.07,2.08174,0.25,0.09
33,1.49623,4.18543,0.25,0.09
34,1.49623,4.18543,0.25,0.09
35,1.49623,4.18543,0.25,0.09
36,1.49623,4.18543,0.25,0.09
37,0.52827,5.30899,0.13827,0.09
38,0.52827,5.30899,0.13827,0.09
39,0.52827,5.30899,0.13827,0.09
40,0.52827,5.30899,0.13827,0.09
41,0.49,5.53741,0.1,0.09
42,0.49,5.53741,0.1,0.09
43,0.49,5.53741,0.1,0.09
44,0.49,5.53741,0.1,0.09
45,1.92,6.84238,0.1,0.09
46,1.92,6.84238,0.1,0.09
47,1.92,6.84238,0.1,0.09
48,1.92,6.84238,0.1,0.09
49,0.49,6.80314,0.1,0.09
50,0.49,6.80314,0.1,0.09
51,0.49,6.80314,0.1,0.09
52,0.49,6.80314,0.1,0.09
53,1.9087,7.40165,0.1,0.09
54,1.9087,7.40165,0.1,0.09
55,1.9087,7.40165,0.1,0.09
56,1.9087,7.40165,0.1,0.09
57,1.21802,5.77605,0.25,0.09
58,1.21802,5.77605,0.25,0.09
59,1.21802,5.77605,0.25,0.09
60,1.21802,5.77605,0.25,0.09
61,7.4342,2.54395,1.61829,0.09
62,7.4342,2.54395,1.61829,0.09
63,7.4342,2.54395,1.61829,0.09
64,7.4342,2.54395,1.61829,0.09
65,11.86,3.34,5.85,0.09
66,11.86,3.34,5.85,0.09
67,11.86,3.34,5.85,0.09
68,11.86,3.34,5.85,0.09
69,12.27693,3.56,6.41693,0.09
70,12.27693,3.56,6.41693,0.09
71,12.27693,3.56,6.41693,0.09
72,12.27693,3.56,6.41693,0.09
73,11.03852,3.34,5.17852,0.09
74,11.03852,3.34,5.17852,0.09
75,11.03852,3.34,5.17852,0.09
76,11.03852,3.34,5.17852,0.09
77,9.30251,3.34,3.44251,0.09
78,9.30251,3.34,3.44251,0.09
79,9.30251,3.34,3.44251,0.09
80,9.30251,3.34,3.44251,0.09
81,8.18075,3.34,2.17075,0.09
82,8.18075,3.34,2.17075,0.09
83,8.18075,3.34,2.17075,0.09
84,8.18075,3.34,2.17075,0.09
85,9,1.44,2.60157,0.09
86,9,1.44,2.60157,0.09
87,9,1.44,2.60157,0.09
88,9,1.44,2.60157,0.09
89,5.91654,3.34959,0.25,0.09
90,5.91654,3.34959,0.25,0.09
91,5.91654,3.34959,0.25,0.09
92,5.91654,3.34959,0.25,0.09
93,5.01,3.35,0.25,0.09
94,5.01,3.35,0.25,0.09
95,5.01,3.35,0.25,0.09
96,5.01,3.35,0.25,0.09
97,4.94011,3.07,0.25,0.09
98,4.94011,3.07,0.25,0.09
99,4.94011,3.07,0.25,0.09
100,4.94011,3.07,0.25,0.09
101,4.2091,3.36,0.25,0.09
102,4.2091,3.36,0.25,0.09
103,4.2091,3.36,0.25,0.09
104,4.2091,3.36,0.25,0.09
105,1.95405,1.58,0.25,0.09
106,1.95405,1.58,0.25,0.09
107,1.95405,1.58,0.25,0.09
108,1.95405,1.58,0.25,0.09
109,5.53407,3.35,0.25,0.09
110,5.53407,3.35,0.25,0.09
111,5.53407,3.35,0.25,0.09
112,5.53407,3.35,0.25,0.09
113,5.87551,3.35,0.25,0.09
114,5.87551,3.35,0.25,0.09
115,5.87551,3.35,0.25,0.09
116,5.87551,3.35,0.25,0.09
117,1.97,2.15,0.25,0.09
118,1.97,2.15,0.25,0.09
119,1.97,2.15,0.25,0.09
120,1.97,2.15,0.25,0.09
121,1.97,2.15,0.25,0.09
122,1.97,2.15,0.25,0.09
123,1.97,2.15,0.25,0.09
124,1.97,2.15,0.25,0.09
125,3.05875,3.04842,0.25,0.09
126,3.05875,3.04842,0.25,0.09
127,3.05875,3.04842,0.25,0.09
128,3.05875,3.04842,0.25,0.09
129,1.97,5.39645,0.25,0.09
130,1.97,5.39645,0.25,0.09
131,1.97,5.39645,0.25,0.09
132,1.97,5.39645,0.25,0.09
133,1.97,5.73871,0.25,0.09
134,1.97,5.73871,0.25,0.09
135,1.97,5.73871,0.25,0.09
136,1.97,5.73871,0.25,0.09
137,1.94866,5.8,0.25,0.09
138,1.94866,5.8,0.25,0.09
139,1.94866,5.8,0.25,0.09
140,1.94866,5.8,0.25,0.09
141,0.36,6.42403,0.1,0.09
142,0.36,6.42403,0.1,0.09
143,0.36,6.42403,0.1,0.09
144,0.36,6.42403,0.1,0.09
145,0.51,7.82822,0.25,0.09
146,0.51,7.82822,0.25,0.09
147,0.51,7.82822,0.25,0.09
148,0.51,7.82822,0.25,0.09
149,1.98,5.17745,0.25,0.09
150,1.98,5.17745,0.25,0.09
151,1.98,5.17745,0.25,0.09
152,1.98,5.17745,0.25,0.09
153,1.97,6.06075,0.25,0.09
154,1.97,6.06075,0.25,0.09
155,1.97,6.06075,0.25,0.09
156,1.97,6.06075,0.25,0.09
157,7.91884,3.64,2.31359,0.09
158,7.91884,3.64,2.31359,0.09
159,7.91884,3.64,2.31359,0.09
160,7.91884,3.64,2.31359,0.09
161,11.86,3.64,5.85,0.09
162,11.86,3.64,5.85,0.09
163,11.86,3.64,5.85,0.09
164,11.86,3.64,5.85,0.09
165,11.94201,1.43,6.08201,0.09
166,11.94201,1.43,6.08201,0.09
167,11.94201,1.43,6.08201,0.09
168,11.94201,1.43,6.08201,0.09
169,8.17797,1.43,2.31797,0.09
170,8.17797,1.43,2.31797,0.09
171,8.17797,1.43,2.31797,0.09
172,8.17797,1.43,2.31797,0.09
173,8.86,1.44,2.85,0.09
174,8.86,1.44,2.85,0.09
175,8.86,1.44,2.85,0.09
176,8.86,1.44,2.85,0.09
177,9.87487,3.64,2.97,0.09
178,9.87487,3.64,2.97,0.09
179,9.87487,3.64,2.97,0.09
180,9.87487,3.64,2.97,0.09
181,8.54516,2.78955,2.80516,0.09
182,8.54516,2.78955,2.80516,0.09
183,8.54516,2.78955,2.80516,0.09
184,8.54516,2.78955,2.80516,0.09
185,1.84888,1.35268,0.25337,0.09
186,1.84888,1.35268,0.25337,0.09
187,1.84888,1.35268,0.25337,0.09
188,1.84888,1.35268,0.25337,0.09
189,2.64438,2.87233,0.25,0.09
190,2.64438,2.87233,0.25,0.09
191,2.64438,2.87233,0.25,0.09
192,2.64438,2.87233,0.25,0.09
193,1.76,3.34,0.25,0.09
194,1.76,3.34,0.25,0.09
195,1.76,3.34,0.25,0.09
196,1.76,3.34,0.25,0.09
197,2.37627,3.34,0.25,0.09
198,2.37627,3.34,0.25,0.09
199,2.37627,3.34,0.25,0.09
200,2.37627,3.34,0.25,0.09
201,1.76,2.33316,0.25,0.09
202,1.76,2.33316,0.25,0.09
203,1.76,2.33316,0.25,0.09
204,1.76,2.33316,0.25,0.09
205,3.5256,3.34,0.25,0.09
